model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positive,testing true negative,testing false positive,testing false negative
Neural Network,layer normalisation,"[0.08333333333333333, 0.08, 0.10666666666666667, 0.07333333333333333, 0.09333333333333334]","[0.5925925925925926, 0.6, 0.5851851851851851, 0.5851851851851851, 0.5777777777777777]","[91.66666666666666, 92.0, 89.33333333333333, 92.66666666666666, 90.66666666666666]","[0.9124095034159274, 0.9178732944718467, 0.8848681894048518, 0.9242182214948172, 0.90025]",0.3868113761730783,43.7037037037037,9.0,50.0,20.0,56.0
Neural Network,prune,"[0.16666666666666666, 0.17333333333333334, 0.16333333333333333, 0.12666666666666668, 0.16]","[0.4444444444444444, 0.3925925925925926, 0.37777777777777777, 0.2962962962962963, 0.37777777777777777]","[83.33333333333334, 82.66666666666667, 83.66666666666667, 87.33333333333333, 84.0]","[0.8310170354672843, 0.8189683652797257, 0.8308034188034188, 0.8710042432814711, 0.8368490321341083]",0.6219713140845597,61.48148148148148,17.0,66.0,29.0,23.0
Neural Network,weight normalisation,"[0.20333333333333334, 0.19333333333333333, 0.18333333333333332, 0.19666666666666666, 0.20333333333333334]","[0.4888888888888889, 0.48148148148148145, 0.4074074074074074, 0.4888888888888889, 0.37777777777777777]","[79.66666666666666, 80.66666666666666, 81.66666666666667, 80.33333333333333, 79.66666666666666]","[0.7961568913632852, 0.8053125739434953, 0.8170144677589345, 0.8022901000680075, 0.796235391385312]",0.6463363439929742,60.74074074074074,10.0,72.0,38.0,15.0
Neural Network,weight decay,"[0.16, 0.15666666666666668, 0.15666666666666668, 0.16333333333333333, 0.15]","[0.4148148148148148, 0.4888888888888889, 0.42962962962962964, 0.35555555555555557, 0.5037037037037037]","[84.0, 84.33333333333334, 84.33333333333334, 83.66666666666667, 85.0]","[0.835693464019095, 0.8402089268755936, 0.8381709498630873, 0.8286362285827473, 0.8457310322370563]",0.5074661963550853,56.2962962962963,2.0,74.0,18.0,41.0
Neural Network,weight perturbation,"[0.12, 0.13333333333333333, 0.11666666666666667, 0.12, 0.13]","[0.2, 0.24444444444444444, 0.18518518518518517, 0.18518518518518517, 0.23703703703703705]","[88.0, 86.66666666666667, 88.33333333333333, 88.0, 87.0]","[0.8697441525481857, 0.8583502366463828, 0.8726346255758021, 0.8734409937888199, 0.8580785827844651]",0.7737037037037037,80.74074074074075,2.0,107.0,7.0,19.0
Random forest,baseline,"[0.12, 0.15666666666666668, 0.13333333333333333, 0.14666666666666667, 0.13333333333333333]","[0.23703703703703705, 0.2518518518518518, 0.24444444444444444, 0.31851851851851853, 0.2740740740740741]","[88.0, 84.33333333333334, 86.66666666666667, 85.33333333333334, 86.66666666666667]","[0.8674152180108293, 0.8257652353521954, 0.854457324462126, 0.8373762805635651, 0.8536433683151565]",0.710608733926017,69.62962962962963,1.0,93.0,23.0,18.0
Random forest,batch normalisation,"[0.09666666666666666, 0.1, 0.10333333333333333, 0.09, 0.11666666666666667]","[0.31851851851851853, 0.3037037037037037, 0.34814814814814815, 0.34074074074074073, 0.24444444444444444]","[90.33333333333333, 90.0, 89.66666666666666, 91.0, 88.33333333333333]","[0.8980117145334537, 0.8930078360458108, 0.8904172285018285, 0.9063702081756856, 0.8762775160504515]",0.6974434611602752,74.81481481481481,5.0,96.0,6.0,28.0
Random forest,dropout,"[0.11666666666666667, 0.09333333333333334, 0.10333333333333333, 0.12333333333333334, 0.1]","[0.24444444444444444, 0.2518518518518518, 0.24444444444444444, 0.23703703703703705, 0.23703703703703705]","[88.33333333333333, 90.66666666666666, 89.66666666666666, 87.66666666666667, 90.0]","[0.8525026890984471, 0.8911042311661506, 0.8764704276863451, 0.8478959578591119, 0.8793610074626864]",0.7286868686868686,74.81481481481481,8.0,93.0,12.0,22.0
Random forest,layer normalisation,"[0.006666666666666667, 0.006666666666666667, 0.0033333333333333335, 0.0, 0.01]","[0.5481481481481482, 0.5851851851851851, 0.5851851851851851, 0.6370370370370371, 0.5407407407407407]","[99.33333333333333, 99.33333333333333, 99.66666666666667, 100.0, 99.0]","[0.9933023555206887, 0.9933016569200781, 0.996658835417456, 1.0, 0.9899765062523683]",0.33679169992019153,40.0,5.0,49.0,21.0,60.0
Random forest,prune,"[0.11333333333333333, 0.1, 0.09666666666666666, 0.09, 0.09666666666666666]","[0.35555555555555557, 0.2518518518518518, 0.42962962962962964, 0.34074074074074073, 0.3111111111111111]","[88.66666666666667, 90.0, 90.33333333333333, 91.0, 90.33333333333333]","[0.8845665566014488, 0.8984203296703296, 0.9022714201489573, 0.9084820697560176, 0.9021803384544159]",0.6983231002838846,71.85185185185186,14.0,83.0,12.0,26.0
