model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,prune,"[0.18666666666666668, 0.24, 0.24, 0.21, 0.21]",0.37037037037037035,Models\NN\20260419_12\prune.pt,"[81.33333333333333, 76.0, 76.0, 79.0, 79.0]","[0.7432432432432434, 0.7396449704142012, 0.6944444444444444, 0.6936416184971098, 0.7444168734491315]",55.0,245.0,18.0,57.0,62.96296296296296,0.6132075471698113,13.0,72.0,4.0,46.0
Neural Network,weight normalisation,"[0.11666666666666667, 0.11, 0.15666666666666668, 0.14333333333333334, 0.11666666666666667]",0.2814814814814815,Models\NN\20260419_12\weight_normalisation.pt,"[88.33333333333333, 89.0, 84.33333333333334, 85.66666666666667, 88.33333333333333]","[0.8565531475748194, 0.8497409326424871, 0.8253094910591473, 0.846824408468244, 0.9159347553324969]",86.0,236.0,12.0,41.0,71.85185185185186,0.3395061728395062,11.0,86.0,22.0,16.0
Neural Network,weight decay,"[0.09333333333333334, 0.11, 0.13, 0.14, 0.13666666666666666]",0.4222222222222222,Models\NN\20260419_12\weight_decay.pt,"[90.66666666666666, 89.0, 87.0, 86.0, 86.33333333333333]","[0.8950617283950617, 0.8735332464146023, 0.8909370199692781, 0.7921810699588477, 0.8716323296354992]",82.0,249.0,12.0,32.0,57.77777777777777,0.3526448362720403,14.0,64.0,25.0,32.0
Neural Network,weight perturbation,"[0.17666666666666667, 0.15, 0.18, 0.16333333333333333, 0.18666666666666668]",0.14074074074074075,Models\NN\20260419_12\weight_perturbation.pt,"[82.33333333333334, 85.0, 82.0, 83.66666666666667, 81.33333333333333]","[0.7569721115537849, 0.7253886010362696, 0.6707317073170732, 0.7762557077625571, 0.7264957264957265]",18.0,290.0,2.0,65.0,85.92592592592592,0.0,0.0,116.0,3.0,16.0
Random forest,baseline,"[0.142433234421365, 0.13649851632047477, 0.142433234421365, 0.142433234421365, 0.13649851632047477, 0.13609467455621302, 0.1301775147928994, 0.15088757396449703, 0.1301775147928994, 0.1390532544378698]",0.13333333333333333,Models\RandomForest\20260419_Apr\baseline.pkl,"[85.7566765578635, 86.35014836795251, 85.7566765578635, 85.7566765578635, 86.35014836795251, 86.3905325443787, 86.98224852071006, 84.91124260355029, 86.98224852071006, 86.09467455621301]","[0.78125, 0.7954545454545455, 0.7407407407407408, 0.7723577235772358, 0.7874015748031497, 0.7947019867549668, 0.801526717557252, 0.670391061452514, 0.7547169811320754, 0.7397260273972602]",21.0,302.0,1.0,51.0,86.66666666666667,0.0,0.0,117.0,0.0,18.0
Random forest,batch normalisation,"[0.11275964391691394, 0.09050445103857567, 0.08902077151335312, 0.09792284866468842, 0.10534124629080119, 0.10502958579881658, 0.09467455621301775, 0.10946745562130178, 0.10946745562130178, 0.09319526627218935]",0.2962962962962963,Models\RandomForest\20260419_Apr\batch_normalisation.pkl,"[88.72403560830861, 90.80118694362018, 91.0979228486647, 90.20771513353115, 89.31750741839762, 89.05325443786982, 90.53254437869822, 89.05325443786982, 88.46153846153845, 90.23668639053254]","[0.8564814814814815, 0.8679245283018869, 0.8628318584070797, 0.8519269776876268, 0.8958837772397096, 0.8483754512635379, 0.8718861209964414, 0.8149405772495756, 0.8288288288288289, 0.8754863813229572]",44.0,289.0,5.0,37.0,68.88888888888889,0.15151515151515152,1.0,94.0,2.0,38.0
Random forest,dropout,"[0.08902077151335312, 0.0830860534124629, 0.08605341246290801, 0.08902077151335312, 0.08011869436201781, 0.07988165680473373, 0.08875739644970414, 0.07692307692307693, 0.08875739644970414, 0.09171597633136094]",0.15555555555555556,Models\RandomForest\20260419_Apr\dropout.pkl,"[91.0979228486647, 91.69139465875371, 91.3946587537092, 91.0979228486647, 91.98813056379822, 92.01183431952663, 91.12426035502959, 92.3076923076923, 91.12426035502959, 90.8284023668639]","[0.823529411764706, 0.8227848101265822, 0.7563025210084034, 0.8000000000000002, 0.8383233532934132, 0.8280254777070064, 0.8125, 0.8433734939759038, 0.823529411764706, 0.7633587786259541]",14.0,329.0,0.0,32.0,84.44444444444444,0.0,0.0,114.0,0.0,21.0
Random forest,layer normalisation,"[0.18397626112759644, 0.18991097922848665, 0.17804154302670624, 0.1513353115727003, 0.17210682492581603, 0.17751479289940827, 0.16863905325443787, 0.1952662721893491, 0.15384615384615385, 0.1893491124260355]",0.2074074074074074,Models\RandomForest\20260419_Apr\layer_normalisation.pkl,"[81.60237388724035, 81.00890207715133, 82.19584569732937, 84.86646884272997, 82.7893175074184, 82.24852071005917, 83.13609467455622, 80.4733727810651, 84.61538461538461, 81.06508875739645]","[0.8000000000000002, 0.7988165680473372, 0.8461538461538461, 0.8182784272051009, 0.851063829787234, 0.811965811965812, 0.8467153284671532, 0.7807807807807808, 0.8485639686684073, 0.8073654390934845]",71.0,239.0,14.0,51.0,79.25925925925927,0.0,0.0,107.0,0.0,28.0
Random forest,prune,"[0.1572700296735905, 0.1513353115727003, 0.1572700296735905, 0.16913946587537093, 0.1513353115727003, 0.14497041420118342, 0.15384615384615385, 0.17751479289940827, 0.15680473372781065, 0.17159763313609466]",0.43703703703703706,Models\RandomForest\20260419_Apr\prune.pkl,"[84.27299703264094, 84.86646884272997, 84.27299703264094, 83.08605341246292, 84.86646884272997, 85.50295857988166, 84.61538461538461, 82.24852071005917, 84.31952662721893, 82.84023668639054]","[0.8595041322314049, 0.8623548922056384, 0.8765652951699464, 0.8630393996247655, 0.8896210873146623, 0.8925619834710743, 0.8736059479553903, 0.8527131782945738, 0.8743169398907105, 0.8591065292096219]",57.0,261.0,2.0,55.0,56.2962962962963,0.12987012987012989,1.0,75.0,1.0,58.0
Random forest,weight normalisation,"[0.2166172106824926, 0.2195845697329377, 0.2195845697329377, 0.20178041543026706, 0.2403560830860534, 0.19822485207100593, 0.21005917159763313, 0.257396449704142, 0.20414201183431951, 0.21005917159763315]",0.2074074074074074,Models\RandomForest\20260419_Apr\weight_normalisation.pkl,"[78.33827893175074, 78.04154302670622, 78.04154302670622, 79.82195845697329, 75.96439169139467, 80.1775147928994, 78.99408284023669, 74.2603550295858, 79.58579881656804, 78.69822485207101]","[0.7549668874172186, 0.7493540051679587, 0.7128712871287128, 0.7790368271954675, 0.6979865771812082, 0.7702182284980745, 0.7725321888412017, 0.6086221470836854, 0.7523939808481532, 0.7660167130919221]",53.0,234.0,14.0,74.0,79.25925925925927,0.1851851851851852,1.0,106.0,2.0,26.0
