model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,batch normalisation,"[0.7766666666666666, 0.7666666666666667, 0.24666666666666667, 0.23, 0.8]",0.28888888888888886,Models\NN\20260415_13\batch_normalisation.pt,"[22.333333333333332, 23.333333333333332, 75.33333333333333, 77.0, 20.0]","[0.24213950126490782, 0.25270758122743686, 0.0, 0.0, 0.21739130434782608]",0.0,290.0,0.0,85.0,71.11111111111111,0.0,0.0,96.0,0.0,39.0
Neural Network,dropout,"[0.12333333333333334, 0.10333333333333333, 0.09, 0.06666666666666667, 0.10333333333333333]",0.22962962962962963,Models\NN\20260415_13\dropout.pt,"[87.66666666666667, 89.66666666666666, 91.0, 93.33333333333333, 89.66666666666666]","[0.7643312101910829, 0.8433734939759038, 0.8571428571428572, 0.9230769230769231, 0.8530805687203792]",20.0,315.0,0.0,40.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Neural Network,layer normalisation,"[0.14666666666666667, 0.10333333333333333, 0.11333333333333333, 0.11333333333333333, 0.08]",0.4444444444444444,Models\NN\20260415_13\layer_normalisation.pt,"[85.33333333333334, 89.66666666666666, 88.66666666666667, 88.66666666666667, 92.0]","[0.8285714285714286, 0.8993576017130622, 0.8531746031746031, 0.857843137254902, 0.9433962264150942]",47.0,284.0,5.0,39.0,55.55555555555556,0.5921052631578947,18.0,57.0,8.0,52.0
Neural Network,prune,"[0.2733333333333333, 0.38333333333333336, 0.34, 0.33, 0.31333333333333335]",0.4,Models\NN\20260415_13\prune.pt,"[72.66666666666667, 61.66666666666667, 66.0, 67.0, 68.66666666666667]","[0.6045340050377833, 0.47028086218158066, 0.0, 0.0, 0.0]",0.0,251.0,0.0,124.0,60.0,0.0,0.0,81.0,0.0,54.0
Neural Network,weight normalisation,"[0.37, 0.3433333333333333, 0.33666666666666667, 0.6533333333333333, 0.35]",0.6814814814814815,Models\NN\20260415_13\weight_normalisation.pt,"[63.0, 65.66666666666666, 66.33333333333333, 34.66666666666667, 65.0]","[0.0, 0.0, 0.0, 0.37089871611982883, 0.0]",131.0,0.0,244.0,0.0,31.851851851851855,0.34181240063593005,43.0,0.0,92.0,0.0
Neural Network,weight decay,"[0.32666666666666666, 0.6266666666666667, 0.35, 0.3566666666666667, 0.6333333333333333]",0.2814814814814815,Models\NN\20260415_13\weight_decay.pt,"[67.33333333333333, 37.333333333333336, 65.0, 64.33333333333333, 36.666666666666664]","[0.0, 0.3982930298719773, 0.0, 0.0, 0.3914590747330961]",0.0,242.0,0.0,133.0,71.85185185185186,0.0,0.0,97.0,0.0,38.0
Neural Network,weight perturbation,"[0.78, 0.7666666666666667, 0.7766666666666666, 0.23333333333333334, 0.21]",0.7555555555555555,Models\NN\20260415_13\weight_perturbation.pt,"[22.0, 23.333333333333332, 22.333333333333332, 76.66666666666667, 79.0]","[0.23861171366594364, 0.25270758122743686, 0.24213950126490782, 0.0, 0.0]",84.0,0.0,291.0,0.0,24.444444444444443,0.264423076923077,33.0,0.0,102.0,0.0
Random forest,baseline,"[0.0, 0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047]",0.2740740740740741,Models\RandomForest\20260415_Apr\baseline.pkl,"[100.0, 99.70326409495549, 99.70326409495549, 99.70326409495549, 99.70326409495549, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432]","[1.0, 0.9986320109439124, 0.9985734664764624, 0.9986320109439124, 0.9986320109439124, 0.9986320109439124, 0.998650472334683, 0.9986130374479889, 0.9986320109439124, 0.998650472334683]",81.0,293.0,0.0,1.0,69.62962962962963,0.1492537313432836,1.0,101.0,3.0,30.0
Random forest,batch normalisation,"[0.228486646884273, 0.2166172106824926, 0.22255192878338279, 0.228486646884273, 0.2166172106824926, 0.24260355029585798, 0.22189349112426035, 0.22781065088757396, 0.23076923076923078, 0.23076923076923078]",0.28888888888888886,Models\RandomForest\20260415_Apr\batch_normalisation.pkl,"[77.1513353115727, 78.33827893175074, 77.74480712166172, 77.1513353115727, 78.33827893175074, 75.7396449704142, 77.81065088757396, 77.2189349112426, 76.92307692307693, 76.92307692307693]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,290.0,0.0,85.0,71.11111111111111,0.0,0.0,96.0,0.0,39.0
Random forest,dropout,"[0.14836795252225518, 0.1572700296735905, 0.1632047477744807, 0.1632047477744807, 0.1632047477744807, 0.16272189349112426, 0.15976331360946747, 0.15384615384615385, 0.16568047337278108, 0.16272189349112426]",0.22962962962962963,Models\RandomForest\20260415_Apr\dropout.pkl,"[85.16320474777447, 84.27299703264094, 83.67952522255193, 83.67952522255193, 83.67952522255193, 83.72781065088756, 84.02366863905326, 84.61538461538461, 83.4319526627219, 83.72781065088756]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,315.0,0.0,60.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,layer normalisation,"[0.017804154302670624, 0.026706231454005934, 0.01483679525222552, 0.03857566765578635, 0.020771513353115726, 0.005917159763313609, 0.014792899408284023, 0.01775147928994083, 0.023668639053254437, 0.026627218934911243]",0.5333333333333333,Models\RandomForest\20260415_Apr\layer_normalisation.pkl,"[98.21958456973294, 97.3293768545994, 98.51632047477746, 96.14243323442136, 97.92284866468842, 99.40828402366864, 98.5207100591716, 98.22485207100591, 97.63313609467455, 97.33727810650888]","[0.9811827956989247, 0.9769335142469471, 0.993103448275862, 0.9419354838709677, 0.9795918367346939, 0.9875000000000002, 0.9815078236130867, 0.9913793103448277, 0.9878419452887538, 0.9561752988047808]",79.0,289.0,0.0,7.0,46.666666666666664,0.3448275862068966,8.0,55.0,10.0,62.0
Random forest,prune,"[0.19287833827893175, 0.20178041543026706, 0.20178041543026706, 0.20178041543026706, 0.16913946587537093, 0.17751479289940827, 0.19822485207100593, 0.17751479289940827, 0.17751479289940827, 0.17751479289940827]",0.3851851851851852,Models\RandomForest\20260415_Apr\prune.pkl,"[80.71216617210682, 79.82195845697329, 79.82195845697329, 79.82195845697329, 83.08605341246292, 82.24852071005917, 80.1775147928994, 82.24852071005917, 82.24852071005917, 82.24852071005917]","[0.7856191744340879, 0.7441253263707572, 0.7692307692307693, 0.7142857142857143, 0.8098987626546682, 0.759493670886076, 0.7520564042303173, 0.7755102040816326, 0.7853403141361257, 0.775]",74.0,233.0,18.0,50.0,61.48148148148148,0.33333333333333337,3.0,80.0,1.0,51.0
Random forest,weight normalisation,"[0.09792284866468842, 0.09792284866468842, 0.08902077151335312, 0.0771513353115727, 0.08902077151335312, 0.07988165680473373, 0.07396449704142012, 0.09171597633136094, 0.10650887573964497, 0.08579881656804733]",0.362962962962963,Models\RandomForest\20260415_Apr\weight_normalisation.pkl,"[90.20771513353115, 90.20771513353115, 91.0979228486647, 92.28486646884274, 91.0979228486647, 92.01183431952663, 92.60355029585799, 90.8284023668639, 89.3491124260355, 91.42011834319527]","[0.8738664468260512, 0.8625106746370623, 0.8971962616822431, 0.9158878504672898, 0.8702791461412152, 0.9082483781278963, 0.9221902017291066, 0.8842297174111213, 0.8715596330275229, 0.8979947689625108]",110.0,228.0,16.0,21.0,63.70370370370371,0.23668639053254437,4.0,82.0,10.0,39.0
Random forest,weight decay,"[0.24925816023738873, 0.26409495548961426, 0.23738872403560832, 0.2166172106824926, 0.2314540059347181, 0.23372781065088757, 0.22189349112426035, 0.22189349112426035, 0.2514792899408284, 0.2603550295857988]",0.362962962962963,Models\RandomForest\20260415_Apr\weight_decay.pkl,"[75.07418397626114, 73.59050445103857, 76.26112759643917, 78.33827893175074, 76.8545994065282, 76.62721893491124, 77.81065088757396, 77.81065088757396, 74.85207100591717, 73.96449704142012]","[0.7272727272727274, 0.7024029574861367, 0.7575757575757576, 0.719910011248594, 0.7722513089005236, 0.6982248520710059, 0.7801418439716313, 0.7577807848443844, 0.7486631016042782, 0.6948228882833788]",60.0,218.0,24.0,73.0,63.70370370370371,0.11560693641618498,2.0,84.0,13.0,36.0
Random forest,weight perturbation,"[0.011869436201780416, 0.008902077151335312, 0.011869436201780416, 0.008902077151335312, 0.008902077151335312, 0.01775147928994083, 0.008875739644970414, 0.008875739644970414, 0.011834319526627219, 0.011834319526627219]",0.26666666666666666,Models\RandomForest\20260415_Apr\weight_perturbation.pkl,"[98.81305637982196, 99.10979228486647, 98.81305637982196, 99.10979228486647, 99.10979228486647, 98.22485207100591, 99.11242603550295, 99.11242603550295, 98.81656804733728, 98.81656804733728]","[0.9840425531914894, 0.9845288326300986, 0.982905982905983, 0.9959623149394348, 0.985352862849534, 0.9686609686609687, 0.9960681520314548, 0.9851551956815116, 0.9746835443037976, 0.9740259740259741]",81.0,290.0,1.0,3.0,73.33333333333333,0.20833333333333334,2.0,97.0,5.0,31.0
svm,baseline,"[0.3590504451038576, 0.34124629080118696, 0.34124629080118696, 0.39465875370919884, 0.37388724035608306, 0.3343195266272189, 0.3254437869822485, 0.3431952662721893, 0.3224852071005917, 0.3757396449704142]",0.37037037037037035,Models\SVM\20260415_Apr\baseline.pkl,"[64.09495548961425, 65.8753709198813, 65.8753709198813, 60.534124629080125, 62.61127596439169, 66.5680473372781, 67.45562130177515, 65.68047337278107, 67.75147928994083, 62.42603550295858]","[0.15647226173541964, 0.18759018759018758, 0.16541353383458648, 0.14267185473411154, 0.12931034482758622, 0.18489984591679506, 0.1774193548387097, 0.18181818181818185, 0.24745269286754004, 0.12765957446808512]",15.0,230.0,63.0,67.0,62.96296296296296,0.17123287671232876,5.0,80.0,24.0,26.0
svm,batch normalisation,"[0.12462908011869436, 0.11275964391691394, 0.11275964391691394, 0.11869436201780416, 0.10682492581602374, 0.12130177514792899, 0.10355029585798817, 0.10650887573964497, 0.11538461538461539, 0.11242603550295859]",0.4740740740740741,Models\SVM\20260415_Apr\batch_normalisation.pkl,"[87.53709198813057, 88.72403560830861, 88.72403560830861, 88.13056379821958, 89.31750741839762, 87.86982248520711, 89.64497041420118, 89.3491124260355, 88.46153846153845, 88.75739644970415]","[0.7903780068728522, 0.8152173913043479, 0.8239700374531836, 0.7936507936507936, 0.8280254777070064, 0.8073394495412844, 0.8067226890756303, 0.8608058608058609, 0.7965860597439546, 0.802675585284281]",52.0,279.0,11.0,33.0,52.59259259259259,0.2713178294573644,14.0,57.0,39.0,25.0
svm,dropout,"[0.24629080118694363, 0.2522255192878338, 0.2344213649851632, 0.2551928783382789, 0.2314540059347181, 0.23668639053254437, 0.23964497041420119, 0.257396449704142, 0.22781065088757396, 0.2514792899408284]",0.37037037037037035,Models\SVM\20260415_Apr\dropout.pkl,"[75.37091988130564, 74.77744807121661, 76.55786350148368, 74.4807121661721, 76.8545994065282, 76.33136094674556, 76.03550295857988, 74.2603550295858, 77.2189349112426, 74.85207100591717]","[0.15317286652078776, 0.20120724346076457, 0.15503875968992248, 0.1619433198380567, 0.20089285714285715, 0.1851851851851852, 0.13986013986013987, 0.19120458891013384, 0.21686746987951805, 0.2321083172147002]",10.0,271.0,44.0,50.0,62.96296296296296,0.14598540145985403,4.0,81.0,23.0,27.0
svm,layer normalisation,"[0.0771513353115727, 0.0771513353115727, 0.06528189910979229, 0.07418397626112759, 0.06528189910979229, 0.07100591715976332, 0.07988165680473373, 0.07100591715976332, 0.07396449704142012, 0.07396449704142012]",0.42962962962962964,Models\SVM\20260415_Apr\layer_normalisation.pkl,"[92.28486646884274, 92.28486646884274, 93.47181008902076, 92.58160237388724, 93.47181008902076, 92.89940828402366, 92.01183431952663, 92.89940828402366, 92.60355029585799, 92.60355029585799]","[0.8797653958944283, 0.8615384615384616, 0.9018987341772151, 0.889894419306184, 0.8970588235294118, 0.888888888888889, 0.8766716196136702, 0.9119496855345911, 0.8827785817655573, 0.866965620328849]",64.0,282.0,7.0,22.0,57.03703703703704,0.5961538461538461,31.0,46.0,19.0,39.0
svm,prune,"[0.142433234421365, 0.14540059347181009, 0.1394658753709199, 0.13649851632047477, 0.1394658753709199, 0.12721893491124261, 0.15088757396449703, 0.1390532544378698, 0.14792899408284024, 0.13313609467455623]",0.6074074074074074,Models\SVM\20260415_Apr\prune.pkl,"[85.7566765578635, 85.45994065281899, 86.05341246290801, 86.35014836795251, 86.05341246290801, 87.27810650887574, 84.91124260355029, 86.09467455621301, 85.20710059171599, 86.68639053254438]","[0.7913669064748202, 0.8069164265129684, 0.7981220657276995, 0.8118811881188118, 0.8167539267015707, 0.8208296557811122, 0.7996051332675223, 0.8072653884964681, 0.81419624217119, 0.8126858275520317]",89.0,230.0,21.0,35.0,39.25925925925926,0.16203703703703706,7.0,46.0,35.0,47.0
svm,weight normalisation,"[0.13056379821958458, 0.12462908011869436, 0.12759643916913946, 0.12462908011869436, 0.13353115727002968, 0.11834319526627218, 0.12721893491124261, 0.11242603550295859, 0.14201183431952663, 0.1390532544378698]",0.31851851851851853,Models\SVM\20260415_Apr\weight_normalisation.pkl,"[86.94362017804154, 87.53709198813057, 87.24035608308606, 87.53709198813057, 86.64688427299704, 88.16568047337277, 87.27810650887574, 88.75739644970415, 85.79881656804734, 86.09467455621301]","[0.8333333333333335, 0.8562992125984252, 0.8508691674290944, 0.8562992125984252, 0.8357075023741691, 0.8620689655172413, 0.8192341941228852, 0.852575488454707, 0.8075601374570446, 0.819981149858624]",100.0,224.0,20.0,31.0,68.14814814814815,0.5145797598627788,30.0,62.0,30.0,13.0
svm,weight decay,"[0.1572700296735905, 0.16023738872403562, 0.14540059347181009, 0.1513353115727003, 0.16023738872403562, 0.15976331360946747, 0.15680473372781065, 0.15680473372781065, 0.15976331360946747, 0.16568047337278108]",0.3333333333333333,Models\SVM\20260415_Apr\weight_decay.pkl,"[84.27299703264094, 83.97626112759644, 85.45994065281899, 84.86646884272997, 83.97626112759644, 84.02366863905326, 84.31952662721893, 84.31952662721893, 84.02366863905326, 83.4319526627219]","[0.8180943214629451, 0.8025830258302583, 0.8190819081908192, 0.8179162609542358, 0.8067542213883677, 0.8118811881188118, 0.8153701968134958, 0.804369414101291, 0.7926829268292683, 0.7874015748031497]",93.0,222.0,20.0,40.0,66.66666666666666,0.14598540145985403,2.0,88.0,9.0,36.0
svm,weight perturbation,"[0.3293768545994065, 0.3590504451038576, 0.40059347181008903, 0.3560830860534125, 0.34421364985163205, 0.35798816568047337, 0.35502958579881655, 0.35502958579881655, 0.3520710059171598, 0.3816568047337278]",0.3111111111111111,Models\SVM\20260415_Apr\weight_perturbation.pkl,"[67.06231454005935, 64.09495548961425, 59.940652818991104, 64.39169139465875, 65.57863501483679, 64.20118343195266, 64.49704142011834, 64.49704142011834, 64.79289940828401, 61.834319526627226]","[0.2663115845539281, 0.1997336884154461, 0.1310615989515072, 0.23076923076923075, 0.17142857142857146, 0.15471167369901548, 0.19125683060109291, 0.23809523809523808, 0.2130492676431425, 0.15604681404421328]",20.0,224.0,67.0,64.0,68.88888888888889,0.3636363636363637,12.0,81.0,21.0,21.0
