dataset_name,seed,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline_training_loss,baseline_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,SMOTE_training_loss,SMOTE_testing_loss,prune_training_loss,prune_testing_loss,weight_decay_training_loss,weight_decay_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,weight_perturbation_training_loss,weight_perturbation_testing_loss,best_training_technique,best_testing_technique
Page Blocks,76166,10,1.0,316,2,31.6,0.2,158.0,0.0639730639730639,1.0,0.0637536810806504,0.0,0.1465885134124238,1.0658298323727775,-0.6434469785875027,"[0.3831886947154999, 0.3732025921344757, 0.36300650238990784, 0.3877509832382202, 0.35802677273750305]","[0.37604382634162903, 0.37600043416023254, 0.3759991526603699, 0.3760085105895996, 0.37595847249031067]","[0.38312605023384094, 0.37318405508995056, 0.36296403408050537, 0.3877498209476471, 0.35809892416000366]","[0.3759692311286926, 0.3759664297103882, 0.37594857811927795, 0.37599441409111023, 0.3760186433792114]","[0.3831796944141388, 0.37321242690086365, 0.3629753589630127, 0.3877890110015869, 0.3580752909183502]","[0.37595319747924805, 0.3759901225566864, 0.37594106793403625, 0.37604081630706787, 0.37601664662361145]","[0.3829134702682495, 0.37296321988105774, 0.36276668310165405, 0.38751915097236633, 0.3578161895275116]","[0.3757617473602295, 0.3757617473602295, 0.3757617473602295, 0.3757617473602295, 0.3757617473602295]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.38644081354141235, 0.3763952851295471, 0.36663639545440674, 0.391422301530838, 0.36161214113235474]","[0.3794145882129669, 0.37914830446243286, 0.37940406799316406, 0.37989822030067444, 0.37925630807876587]","[0.5187584161758423, 0.511667788028717, 0.5043007135391235, 0.5220060348510742, 0.5006884932518005]","[0.5136955976486206, 0.5136767029762268, 0.5137566924095154, 0.5137369632720947, 0.5138257741928101]","[0.383152574300766, 0.37322187423706055, 0.3630039393901825, 0.3877577483654022, 0.3580440878868103]","[0.37600553035736084, 0.376018226146698, 0.37599343061447144, 0.37602004408836365, 0.37597066164016724]","[0.3829134702682495, 0.37296321988105774, 0.36276668310165405, 0.38751915097236633, 0.3578161895275116]","[0.3757617473602295, 0.3757617473602295, 0.3757617473602295, 0.3757617473602295, 0.3757617473602295]",layer_normalisation,layer_normalisation
Page Blocks,22424,10,1.0,2033,5,203.3,0.5,406.6,0.0054377379010331,1.0,0.1241233798636527,0.0477257605519976,0.2333164212910088,1.1321555475794534,-0.6661804354474801,"[1.0017662048339844, 0.9993835091590881, 0.9970781803131104, 1.000152349472046, 1.002458930015564]","[1.0006660223007202, 1.0006637573242188, 1.0006641149520874, 1.0006638765335083, 1.0006645917892456]","[1.0017632246017456, 0.9993826746940613, 0.997077226638794, 1.00015127658844, 1.0024572610855103]","[1.0006647109985352, 1.0006669759750366, 1.0006662607192993, 1.0006654262542725, 1.0006654262542725]","[1.0017653703689575, 0.9993870854377747, 0.9970800280570984, 1.0001540184020996, 1.0024614334106445]","[1.0006637573242188, 1.000667691230774, 1.0006681680679321, 1.0006660223007202, 1.0006687641143799]","[1.0017565488815308, 0.9993771314620972, 0.9970693588256836, 1.0001457929611206, 1.0024502277374268]","[1.0006563663482666, 1.000657558441162, 1.0006557703018188, 1.000657558441162, 1.0006561279296875]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.6036046743392944, 1.6122758388519287, 1.6059819459915161, 1.6073248386383057, 1.6069225072860718]","[1.0021270513534546, 0.9996541142463684, 0.9974818229675293, 1.0004866123199463, 1.0027165412902832]","[1.0010278224945068, 1.0009337663650513, 1.0010653734207153, 1.0009980201721191, 1.00092351436615]","[1.296911358833313, 1.2948368787765503, 1.2928266525268555, 1.2955107688903809, 1.2975152730941772]","[1.2959524393081665, 1.2959526777267456, 1.295954942703247, 1.2959530353546143, 1.295952320098877]","[1.001763939857483, 0.999383807182312, 0.9970783591270447, 1.0001517534255981, 1.0024594068527222]","[1.0006637573242188, 1.0006639957427979, 1.0006643533706665, 1.00066339969635, 1.0006650686264038]","[1.0017555952072144, 0.9993751645088196, 0.9970691800117493, 1.0001437664031982, 1.0024497509002686]","[1.0006556510925293, 1.0006556510925293, 1.0006556510925293, 1.0006556510925293, 1.0006556510925293]",SMOTE,weight_perturbation
Page Blocks,43343,10,1.0,2814,5,281.4,0.5,562.8,0.005893909626719,1.0,0.1140070618953882,0.0526188611382762,0.2119896436083892,1.1207600395463613,-0.6353586417667804,"[1.004837989807129, 1.000340223312378, 0.992567777633667, 1.0086688995361328, 0.9953433871269226]","[1.0007528066635132, 1.000752568244934, 1.0007535219192505, 1.000752568244934, 1.0007529258728027]","[1.0048377513885498, 1.000340461730957, 0.9925662279129028, 1.0086687803268433, 0.9953436851501465]","[1.000751256942749, 1.0007514953613281, 1.0007519721984863, 1.0007508993148804, 1.0007519721984863]","[1.004838466644287, 1.0003411769866943, 0.9925678372383118, 1.008671760559082, 0.9953433275222778]","[1.0007528066635132, 1.0007548332214355, 1.0007545948028564, 1.0007566213607788, 1.0007530450820923]","[1.0048333406448364, 1.0003353357315063, 0.9925621151924133, 1.0086640119552612, 0.9953387975692749]","[1.0007482767105103, 1.0007476806640625, 1.000747799873352, 1.0007476806640625, 1.0007482767105103]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.604619026184082, 1.603163719177246, 1.6155405044555664, 1.6054515838623047, 1.6068665981292725]","[1.0050275325775146, 1.0005525350570679, 0.9927703142166138, 1.0088562965393066, 0.995538055896759]","[1.000943899154663, 1.0009645223617554, 1.0009526014328003, 1.0009429454803467, 1.0009454488754272]","[1.299588918685913, 1.2956762313842773, 1.2888939380645752, 1.3029204607009888, 1.2913165092468262]","[1.2960443496704102, 1.2960331439971924, 1.296042799949646, 1.296046257019043, 1.296034812927246]","[1.0048385858535767, 1.0003403425216675, 0.9925656318664551, 1.0086690187454224, 0.9953428506851196]","[1.000753402709961, 1.000752568244934, 1.0007513761520386, 1.0007528066635132, 1.0007524490356445]","[1.0048326253890991, 1.0003350973129272, 0.9925616383552551, 1.0086637735366821, 0.9953378438949585]","[1.0007474422454834, 1.0007474422454834, 1.0007474422454834, 1.0007474422454834, 1.0007474422454834]",SMOTE,weight_perturbation
Page Blocks,15446,10,1.0,3965,5,396.5,0.5,793.0,0.0055772448410485,1.0,0.1266981254817172,0.0532409815859169,0.221661707014886,1.1350743160452568,-0.6722989565671167,"[1.0006186962127686, 1.003772258758545, 0.9962476491928101, 0.9990052580833435, 1.002157211303711]","[1.000674843788147, 1.0006749629974365, 1.0006754398345947, 1.000675082206726, 1.000674843788147]","[1.0006195306777954, 1.0037728548049927, 0.996246874332428, 0.999005138874054, 1.0021568536758423]","[1.0006742477416992, 1.0006741285324097, 1.0006736516952515, 1.0006736516952515, 1.0006736516952515]","[1.0006202459335327, 1.0037729740142822, 0.9962476491928101, 0.9990057349205017, 1.002157211303711]","[1.0006757974624634, 1.0006760358810425, 1.0006757974624634, 1.0006749629974365, 1.0006752014160156]","[1.000615119934082, 1.0037693977355957, 0.9962430596351624, 0.9990022778511047, 1.0021542310714722]","[1.0006712675094604, 1.0006721019744873, 1.0006710290908813, 1.0006721019744873, 1.0006719827651978]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.6080539226531982, 1.6049028635025024, 1.6094436645507812, 1.6067993640899658, 1.6088624000549316]","[1.0007808208465576, 1.0039472579956055, 0.9963963031768799, 0.99916011095047, 1.0023291110992432]","[1.000836968421936, 1.0008511543273926, 1.000822901725769, 1.0008294582366943, 1.0008474588394165]","[1.2959189414978027, 1.2986639738082886, 1.2921048402786255, 1.2945117950439453, 1.297269582748413]","[1.2959669828414917, 1.2959709167480469, 1.2959688901901245, 1.2959672212600708, 1.2959831953048706]","[1.0006186962127686, 1.0037720203399658, 0.9962471723556519, 0.999005138874054, 1.0021570920944214]","[1.000674843788147, 1.0006747245788574, 1.0006749629974365, 1.0006749629974365, 1.000674843788147]","[1.000614881515503, 1.0037682056427002, 0.9962430596351624, 0.999001145362854, 1.0021531581878662]","[1.0006710290908813, 1.0006710290908813, 1.0006710290908813, 1.0006710290908813, 1.0006710290908813]",SMOTE,weight_perturbation
Page Blocks,93735,10,1.0,4983,5,498.3,0.5,996.6,0.0057700843320017,1.0,0.1266576775584306,0.0493123389567475,0.2310664128218422,1.1350284055748947,-0.6715358350052564,"[1.0030163526535034, 1.004239797592163, 1.0017305612564087, 0.9935781955718994, 1.0007903575897217]","[1.0001214742660522, 1.0001214742660522, 1.0001208782196045, 1.0001214742660522, 1.0001214742660522]","[1.0030162334442139, 1.0042400360107422, 1.001731276512146, 0.9935778975486755, 1.0007902383804321]","[1.000119924545288, 1.0001202821731567, 1.0001201629638672, 1.0001205205917358, 1.000119924545288]","[1.003016471862793, 1.0042405128479004, 1.0017317533493042, 0.9935790300369263, 1.0007902383804321]","[1.0001213550567627, 1.0001221895217896, 1.0001220703125, 1.0001227855682373, 1.0001214742660522]","[1.003014087677002, 1.0042369365692139, 1.0017290115356445, 0.9935760498046875, 1.0007882118225098]","[1.0001192092895508, 1.000118613243103, 1.0001192092895508, 1.0001192092895508, 1.0001192092895508]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.6055629253387451, 1.6080501079559326, 1.614825963973999, 1.6116783618927002, 1.6132432222366333]","[1.0031440258026123, 1.0043824911117554, 1.0018668174743652, 0.9937077164649963, 1.0008995532989502]","[1.000249981880188, 1.00026535987854, 1.0002576112747192, 1.0002493858337402, 1.0002307891845703]","[1.2980104684829712, 1.299099087715149, 1.296888828277588, 1.2898030281066895, 1.2960667610168457]","[1.295485496520996, 1.2955328226089478, 1.2954856157302856, 1.2955408096313477, 1.295486330986023]","[1.0030169486999512, 1.0042392015457153, 1.0017304420471191, 0.9935778379440308, 1.0007904767990112]","[1.0001220703125, 1.0001208782196045, 1.000120759010315, 1.0001211166381836, 1.0001214742660522]","[1.0030131340026855, 1.0042366981506348, 1.0017280578613281, 0.9935750365257263, 1.0007872581481934]","[1.000118374824524, 1.000118374824524, 1.000118374824524, 1.000118374824524, 1.000118374824524]",SMOTE,weight_perturbation
Pima Indians Diabetes,28710,5,1.0,768,2,153.6,0.4,384.0,0.536,1.0,0.0450798852965991,0.0,0.0966519408853405,1.046111425492343,1.869569948582304,"[0.4188554584980011, 0.502889096736908, 0.44695404171943665, 0.4452741742134094, 0.4341890811920166]","[0.6018604040145874, 0.6151981949806213, 0.6048233509063721, 0.6236340403556824, 0.6132591962814331]","[0.4355691969394684, 0.48028671741485596, 0.4610181152820587, 0.4626302421092987, 0.44029760360717773]","[0.5871585011482239, 0.664503276348114, 0.6288362145423889, 0.6150813102722168, 0.6315599083900452]","[0.5017635226249695, 0.5082598328590393, 0.519803524017334, 0.5403456687927246, 0.5444660782814026]","[0.6110160946846008, 0.5740020871162415, 0.6148017048835754, 0.5999656915664673, 0.5872368812561035]","[0.657457172870636, 0.6656039357185364, 0.6635672450065613, 0.6574566960334778, 0.6648867130279541]","[0.663910984992981, 0.6639111042022705, 0.6639110445976257, 0.6639105081558228, 0.6639102101325989]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5307356119155884, 0.5306134223937988, 0.5740582942962646, 0.5250539183616638, 0.5337859392166138]","[0.5669654011726379, 0.5722764134407043, 0.5985960364341736, 0.5887376070022583, 0.5991815328598022]","[0.6661049127578735, 0.6687709093093872, 0.6681044101715088, 0.666179895401001, 0.6685840487480164]","[0.6683288812637329, 0.6682382225990295, 0.6682160496711731, 0.6684701442718506, 0.6682557463645935]","[0.44843629002571106, 0.45647183060646057, 0.4561282694339752, 0.49669399857521057, 0.42393383383750916]","[0.6108174324035645, 0.6113385558128357, 0.6472421884536743, 0.6259434819221497, 0.6018550992012024]","[0.6574572920799255, 0.6656039357185364, 0.663567304611206, 0.6574572920799255, 0.6648876667022705]","[0.6639111042022705, 0.6639111042022705, 0.6639111042022705, 0.6639111042022705, 0.6639111042022705]",baseline,prune
Pima Indians Diabetes,79064,4,1.0,768,2,192.0,0.5,384.0,0.536,1.0,0.047501328617191,0.0,0.0814371559657372,1.048647594371581,2.404112261131621,"[0.5050248503684998, 0.5181996822357178, 0.5037246942520142, 0.5011454820632935, 0.5333924889564514]","[0.5882624983787537, 0.6148332953453064, 0.5862433314323425, 0.6342791318893433, 0.6175438761711121]","[0.5353819131851196, 0.5557746291160583, 0.5252578854560852, 0.5092121362686157, 0.5372252464294434]","[0.5993565917015076, 0.5825931429862976, 0.5628019571304321, 0.5817468762397766, 0.5771747827529907]","[0.5639705657958984, 0.5284926295280457, 0.5437456965446472, 0.5683223009109497, 0.565561830997467]","[0.6044412851333618, 0.6016508340835571, 0.6106123924255371, 0.6276671290397644, 0.6058973073959351]","[0.6513473391532898, 0.6554206609725952, 0.673750102519989, 0.6574569344520569, 0.670985221862793]","[0.6639111042022705, 0.6639111042022705, 0.6639106273651123, 0.6639106869697571, 0.6639111042022705]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5825235843658447, 0.549957811832428, 0.5790128707885742, 0.5894221663475037, 0.5860732197761536]","[0.593546450138092, 0.5929296016693115, 0.6055091023445129, 0.5982935428619385, 0.5943542122840881]","[0.6640053391456604, 0.6653987169265747, 0.6713716983795166, 0.6660874485969543, 0.6704704165458679]","[0.6684412956237793, 0.6682648658752441, 0.6685255765914917, 0.6682406663894653, 0.6682285070419312]","[0.5241191387176514, 0.5539261698722839, 0.504172146320343, 0.5384421348571777, 0.5084360241889954]","[0.6414953470230103, 0.6286472678184509, 0.6464725732803345, 0.6236393451690674, 0.5733066201210022]","[0.6513473391532898, 0.6554206609725952, 0.6737505793571472, 0.9690662622451782, 0.670985221862793]","[0.6639108061790466, 0.6639111042022705, 0.6639111042022705, 0.9626123905181885, 0.6639111042022705]",baseline,batch_normalisation
Pima Indians Diabetes,95849,7,1.0,768,2,109.71428571428572,0.2857142857142857,384.0,0.536,1.0,0.0543038906687172,0.0140577528018042,0.1080881416898511,1.055805402818345,0.7015340171720255,"[0.4112600088119507, 0.3887937664985657, 0.4335065186023712, 0.4436624348163605, 0.396729052066803]","[0.5788925886154175, 0.5380600690841675, 0.5596567988395691, 0.5481606125831604, 0.5734957456588745]","[0.442218154668808, 0.3909645080566406, 0.45543572306632996, 0.40954139828681946, 0.38800445199012756]","[0.5635669827461243, 0.5572026968002319, 0.6121981143951416, 0.5829275250434875, 0.5811945796012878]","[0.4579220712184906, 0.4570275545120239, 0.47117432951927185, 0.4544130861759186, 0.4256111681461334]","[0.567137598991394, 0.5753709077835083, 0.5658218264579773, 0.5396310091018677, 0.5742214322090149]","[0.6554205417633057, 0.6656038165092468, 0.6737505793571472, 0.6594936847686768, 0.5181677937507629]","[0.663910984992981, 0.6639109253883362, 0.6639111042022705, 0.6639107465744019, 0.5512924790382385]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.4760396480560303, 0.44660264253616333, 0.4794747829437256, 0.46182185411453247, 0.5701920390129089]","[0.5946197509765625, 0.5318377614021301, 0.550865113735199, 0.5330584049224854, 0.6169405579566956]","[0.6654202938079834, 0.6687865853309631, 0.6713513135910034, 0.6667693257331848, 0.6652587056159973]","[0.6683852076530457, 0.668260395526886, 0.6682261824607849, 0.6682226657867432, 0.6682167053222656]","[0.39486372470855713, 0.5113481879234314, 0.4078872501850128, 0.42335495352745056, 0.3865179419517517]","[0.5887014269828796, 0.5847876071929932, 0.5708423852920532, 0.5582363605499268, 0.5494715571403503]","[0.9711029529571533, 0.6656039357185364, 0.6737505793571472, 0.6594939827919006, 0.9717982411384583]","[0.9626123905181885, 0.6639111042022705, 0.6639111042022705, 0.6639111042022705, 0.9626123905181885]",baseline,baseline
Pima Indians Diabetes,67818,5,1.0,768,2,153.6,0.4,384.0,0.536,1.0,0.0603418901706115,0.0065676916341297,0.1160725108498919,1.0621996400889395,1.1437824331803983,"[0.49122339487075806, 0.40944764018058777, 0.4538346529006958, 0.4528120458126068, 0.41707226634025574]","[0.5127712488174438, 0.5459202527999878, 0.5334615111351013, 0.5074319243431091, 0.5344142317771912]","[0.47163867950439453, 0.4130282402038574, 0.43133366107940674, 0.4162748157978058, 0.42826324701309204]","[0.5309932827949524, 0.5810313820838928, 0.5677271485328674, 0.5484988689422607, 0.5836277604103088]","[0.48206639289855957, 0.48578664660453796, 0.4927383363246918, 0.500785231590271, 0.47698166966438293]","[0.5439745187759399, 0.5397635698318481, 0.5427814722061157, 0.5087118148803711, 0.546734094619751]","[0.6553926467895508, 0.6717135310173035, 0.6554206609725952, 0.661530613899231, 0.6648863554000854]","[0.6638815402984619, 0.6639108061790466, 0.6639111042022705, 0.6639111042022705, 0.6639096736907959]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.48157039284706116, 0.45997440814971924, 0.5078572034835815, 0.48830923438072205, 0.4732494652271271]","[0.5249611139297485, 0.546931266784668, 0.5465949773788452, 0.5294337868690491, 0.524909257888794]","[0.6654003262519836, 0.6706846356391907, 0.6654461026191711, 0.6675046682357788, 0.6685534119606018]","[0.6682579517364502, 0.6682720184326172, 0.6682174801826477, 0.6683238744735718, 0.6682299971580505]","[0.4660753309726715, 0.4013036787509918, 0.45186299085617065, 0.45199185609817505, 0.42522338032722473]","[0.5088939666748047, 0.5337493419647217, 0.5372757315635681, 0.5055493712425232, 0.5330583453178406]","[0.9711029529571533, 0.6717139482498169, 0.6554206609725952, 0.661530613899231, 0.6648876667022705]","[0.9626123905181885, 0.6639111042022705, 0.6639111042022705, 0.6639111042022705, 0.6639111042022705]",batch_normalisation,weight_normalisation
Pima Indians Diabetes,1308,4,1.0,768,2,192.0,0.5,384.0,0.536,1.0,0.0481254423997553,0.002496455130257,0.0814371559657372,1.04930227406434,2.3599661032236976,"[0.5561832785606384, 0.5370968580245972, 0.5874174237251282, 0.5045962929725647, 0.5347322821617126]","[0.6386784911155701, 0.6190149784088135, 0.6638118028640747, 0.6005843877792358, 0.646285355091095]","[0.5418539643287659, 0.5619524717330933, 0.527549684047699, 0.5123852491378784, 0.501885712146759]","[0.6161112785339355, 0.624029278755188, 0.6664747595787048, 0.609005331993103, 0.6222150921821594]","[0.5446016788482666, 0.5599307417869568, 0.5551050901412964, 0.5517266392707825, 0.5461044907569885]","[0.643950879573822, 0.6092382669448853, 0.6387375593185425, 0.5834042429924011, 0.5955010652542114]","[0.6717139482498169, 0.6533811688423157, 0.6880071759223938, 0.6554190516471863, 0.6404974460601807]","[0.6639111042022705, 0.6639079451560974, 0.663910984992981, 0.663909375667572, 0.6639111042022705]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.6549423933029175, 0.5641584992408752, 0.620276927947998, 0.5649635791778564, 0.5719926953315735]","[0.6670595407485962, 0.5925747156143188, 0.6016076803207397, 0.5945969820022583, 0.6044046878814697]","[0.6707153916358948, 0.664708137512207, 0.6754717826843262, 0.6654179096221924, 0.6601205468177795]","[0.6683910489082336, 0.6682727932929993, 0.6690077781677246, 0.6683788299560547, 0.668656587600708]","[0.5157259106636047, 0.5127679109573364, 0.5269168019294739, 0.5274638533592224, 0.4865662753582001]","[0.637530505657196, 0.6515500545501709, 0.6350206136703491, 0.6104521155357361, 0.6496752500534058]","[0.6717139482498169, 0.6533839702606201, 0.6880072355270386, 0.9711029529571533, 0.6404974460601807]","[0.6639111042022705, 0.6639111042022705, 0.6639111042022705, 0.9626123905181885, 0.6639111042022705]",weight_normalisation,prune
Pima Indians Diabetes,13230,4,1.0,768,2,192.0,0.5,384.0,0.536,1.0,0.051218889288795,0.0063049410950191,0.0879279806115553,1.052553260704458,2.1570355665872865,"[0.49631744623184204, 0.48853057622909546, 0.5120554566383362, 0.48166218400001526, 0.4868008494377136]","[0.5613147616386414, 0.5436831116676331, 0.5366978049278259, 0.5456098914146423, 0.5296357870101929]","[0.5002260804176331, 0.47020572423934937, 0.474812775850296, 0.48641568422317505, 0.4895053505897522]","[0.5522178411483765, 0.5578337907791138, 0.5733550190925598, 0.5752579569816589, 0.5881707072257996]","[0.5575852394104004, 0.529222309589386, 0.5240718722343445, 0.5538294911384583, 0.5522613525390625]","[0.5604653358459473, 0.5689111948013306, 0.5458089113235474, 0.5492575764656067, 0.5443310141563416]","[0.6656039357185364, 0.6493106484413147, 0.6513473391532898, 0.6594937443733215, 0.6831798553466797]","[0.6639111042022705, 0.6639111042022705, 0.6639111042022705, 0.6639108657836914, 0.6639106273651123]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5669915676116943, 0.5522232055664062, 0.5433191657066345, 0.5713607668876648, 0.5512202978134155]","[0.5713000893592834, 0.575129508972168, 0.5623593330383301, 0.544841468334198, 0.5517756342887878]","[0.6687650084495544, 0.6633003354072571, 0.6640222072601318, 0.6668612957000732, 0.6741772890090942]","[0.6682158708572388, 0.6685375571250916, 0.6682671904563904, 0.6684123277664185, 0.6683179140090942]","[0.49576181173324585, 0.5398449301719666, 0.4902735650539398, 0.4930863380432129, 0.5153704881668091]","[0.5654715299606323, 0.6148870587348938, 0.5659964680671692, 0.5568807125091553, 0.5447064638137817]","[0.6656039357185364, 0.6493106484413147, 0.9751762747764587, 0.6594939827919006, 0.9433429837226868]","[0.6639111042022705, 0.6639111042022705, 0.9626123905181885, 0.6639111042022705, 0.9626123905181885]",batch_normalisation,baseline
Pima Indians Diabetes,19365,6,1.0,768,2,128.0,0.3333333333333333,384.0,0.536,1.0,0.0421443673127897,0.0,0.1125499674484766,1.0430450494926689,1.5578721503589206,"[0.4149210751056671, 0.4323129653930664, 0.43885940313339233, 0.44181451201438904, 0.43949300050735474]","[0.6012329459190369, 0.5596674084663391, 0.5820035338401794, 0.5764501094818115, 0.5992326736450195]","[0.4162425100803375, 0.4673990309238434, 0.43865031003952026, 0.4267673194408417, 0.41257327795028687]","[0.6017513275146484, 0.6170215606689453, 0.5702306032180786, 0.6044954657554626, 0.6109256744384766]","[0.5289319157600403, 0.47198307514190674, 0.465383380651474, 0.4889107644557953, 0.4769803285598755]","[0.6317245960235596, 0.5593870282173157, 0.5669987201690674, 0.5565836429595947, 0.566203773021698]","[0.661530613899231, 0.6798604726791382, 0.5495119690895081, 0.6452373266220093, 0.6547250747680664]","[0.663910984992981, 0.663910984992981, 0.573056161403656, 0.6639111042022705, 0.663910984992981]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.4850236177444458, 0.4733571410179138, 0.46226856112480164, 0.4892570674419403, 0.4795567989349365]","[0.5585806965827942, 0.5679251551628113, 0.5777052044868469, 0.5475601553916931, 0.572088360786438]","[0.66744065284729, 0.6731496453285217, 0.6694551110267639, 0.6618483066558838, 0.6651736497879028]","[0.6682170629501343, 0.6685977578163147, 0.6683228611946106, 0.6686547994613647, 0.6683732867240906]","[0.4315098822116852, 0.4211079478263855, 0.453478068113327, 0.4497997760772705, 0.5467543005943298]","[0.5767056345939636, 0.5768175721168518, 0.5872200727462769, 0.5592308640480042, 0.5744723081588745]","[0.661530613899231, 0.9466630220413208, 0.9588829874992371, 0.6452373266220093, 0.6547250747680664]","[0.6639111042022705, 0.9626123905181885, 0.9626123905181885, 0.6639111042022705, 0.6639111042022705]",batch_normalisation,prune
Pima Indians Diabetes,17974,8,1.0,181,2,22.625,0.25,90.5,0.5338983050847458,0.625,0.0339841178257193,0.0,0.1066764711112564,1.034568175405569,1.3769977646697416,"[0.40924495458602905, 0.3658488094806671, 0.38692232966423035, 0.4352656900882721, 0.4085102081298828]","[0.5444619059562683, 0.5850181579589844, 0.6254265308380127, 0.5300894975662231, 0.5207425951957703]","[0.3742903470993042, 0.38325637578964233, 0.40905189514160156, 0.3743011951446533, 0.4340878427028656]","[0.522295355796814, 0.5548163652420044, 0.5537601113319397, 0.5455947518348694, 0.5016317963600159]","[0.46540650725364685, 0.4413619041442871, 0.49699273705482483, 0.459285706281662, 0.48327603936195374]","[0.5327256917953491, 0.552420437335968, 0.5620477795600891, 0.5525768995285034, 0.5112441778182983]","[0.6523921489715576, 0.4958973526954651, 0.6784791350364685, 0.6436846852302551, 0.6580856442451477]","[0.6646131277084351, 0.5150154829025269, 0.6646130084991455, 0.6646010279655457, 0.6646093726158142]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.6405107378959656, 0.6514233946800232, 0.6563888788223267, 0.6346133947372437, 0.6442435383796692]","[0.648396909236908, 0.6484577059745789, 0.6489384770393372, 0.648676872253418, 0.6482834815979004]","[0.6643591523170471, 0.6700848340988159, 0.6727293729782104, 0.6612842082977295, 0.6662978529930115]","[0.6685828566551208, 0.6684685945510864, 0.6686309576034546, 0.6688465476036072, 0.6684830188751221]","[0.3575834035873413, 0.3574136197566986, 0.36493051052093506, 0.400546669960022, 0.4343639314174652]","[0.4889334738254547, 0.6035389304161072, 0.6584355235099792, 0.5541626811027527, 0.49239155650138855]","[0.6523921489715576, 0.6697834730148315, 0.6784791350364685, 0.9828268885612488, 0.9684341549873352]","[0.6646131277084351, 0.6646131277084351, 0.6646131277084351, 0.9619103670120239, 0.9619103670120239]",weight_normalisation,batch_normalisation
Pima Indians Diabetes,53960,8,1.0,213,2,26.625,0.25,106.5,0.5323741007194245,0.875,0.0527439261433644,0.0041537740765906,0.1564235290652522,1.0541596678221186,0.530587400111792,"[0.39440032839775085, 0.37237486243247986, 0.3796490430831909, 0.3872101604938507, 0.357645720243454]","[0.573198139667511, 0.5495774149894714, 0.6120548844337463, 0.5593045949935913, 0.5844214558601379]","[0.37951183319091797, 0.3648882210254669, 0.37957409024238586, 0.38695263862609863, 0.35021623969078064]","[0.5645634531974792, 0.5488836765289307, 0.6001367568969727, 0.5561494827270508, 0.5619386434555054]","[0.4244396984577179, 0.41825324296951294, 0.4244871139526367, 0.42393818497657776, 0.41857877373695374]","[0.5648826956748962, 0.5676442384719849, 0.5829208493232727, 0.6236214637756348, 0.615420401096344]","[0.6882615089416504, 0.6514963507652283, 0.6809086203575134, 0.6147323250770569, 0.6661951541900635]","[0.6620987057685852, 0.6620981693267822, 0.66209876537323, 0.6620988845825195, 0.6620911955833435]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.6615827083587646, 0.6399444937705994, 0.6577188372612, 0.6124711036682129, 0.6492828130722046]","[0.6485552787780762, 0.646765947341919, 0.64780592918396, 0.6494917273521423, 0.6468662619590759]","[0.6755253076553345, 0.664048969745636, 0.6734415888786316, 0.6500738859176636, 0.6689531803131104]","[0.6683043837547302, 0.6677305698394775, 0.6679726839065552, 0.6695802211761475, 0.667641818523407]","[0.3944350779056549, 0.35765087604522705, 0.37234288454055786, 0.38708651065826416, 0.3576187491416931]","[0.5507370233535767, 0.558962345123291, 0.6361557841300964, 0.5633862614631653, 0.5809580087661743]","[0.6882617473602295, 0.6514970660209656, 0.6809087991714478, 0.6147323250770569, 0.666202962398529]","[0.6620989441871643, 0.6620989441871643, 0.6620989441871643, 0.6620989441871643, 0.6620989441871643]",batch_normalisation,batch_normalisation
