dataset_name,seed,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline_training_loss,baseline_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,SMOTE_training_loss,SMOTE_testing_loss,prune_training_loss,prune_testing_loss,weight_decay_training_loss,weight_decay_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,weight_perturbation_training_loss,weight_perturbation_testing_loss,best_training_technique,best_testing_technique,subset_type
Mofn_3_7_10,61284,5.0,1.0,1024.0,2.0,204.8,0.4,512.0,0.2929292929292929,0.0,0.0347881822629664,0.0,0.0531329374549995,1.0354003694072849,2.076270494991982,"[0.4559565782546997, 0.4626094400882721, 0.4586013853549957, 0.4677174687385559, 0.46085524559020996]","[0.4749123454093933, 0.4718623459339142, 0.4656396508216858, 0.46710753440856934, 0.47267070412635803]","[0.45556166768074036, 0.46228909492492676, 0.45802733302116394, 0.46742913126945496, 0.46065762639045715]","[0.4748672842979431, 0.4690510332584381, 0.46707263588905334, 0.4669608473777771, 0.47324949502944946]","[0.4614926278591156, 0.4657541513442993, 0.4613029658794403, 0.4728931784629822, 0.4705284833908081]","[0.48329564929008484, 0.4679594039916992, 0.470447301864624, 0.47286713123321533, 0.47982051968574524]","[0.5285289287567139, 0.5392159819602966, 0.5468495488166809, 0.5468495488166809, 0.5403958559036255]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.4604339003562927, 0.5404016375541687, 0.5479394197463989, 0.5477890372276306, 0.5414646863937378]","[0.47512251138687134, 0.5388784408569336, 0.5390114188194275, 0.538820743560791, 0.538794755935669]","[0.608977735042572, 0.6146273016929626, 0.6185747385025024, 0.6185745596885681, 0.6152421832084656]","[0.6138586401939392, 0.6138100624084473, 0.6138710975646973, 0.6138669848442078, 0.6138132810592651]","[0.4557078182697296, 0.4632076323032379, 0.4593020975589752, 0.46744194626808167, 0.46061766147613525]","[0.4749056100845337, 0.4734633266925812, 0.46846267580986023, 0.4677519202232361, 0.4742918908596039]","[0.5285289287567139, 0.5392159819602966, 0.5468495488166809, 0.5468495488166809, 0.5403959155082703]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]",batch_normalisation,batch_normalisation,features
Mofn_3_7_10,18639,8.0,1.0,1024.0,2.0,128.0,0.25,512.0,0.2929292929292929,0.0,0.0273062437118668,0.0,0.0426490409352404,1.0276824758737315,1.4494823372451495,"[0.3825781047344208, 0.388047456741333, 0.3853311538696289, 0.3925657272338867, 0.3815140724182129]","[0.47506237030029297, 0.4611425995826721, 0.46738430857658386, 0.471317321062088, 0.4805770516395569]","[0.3809707462787628, 0.3888401389122009, 0.3825360834598541, 0.39287814497947693, 0.37631189823150635]","[0.47925013303756714, 0.4668225049972534, 0.4738989472389221, 0.47127026319503784, 0.48563307523727417]","[0.3832758069038391, 0.3988323211669922, 0.3970054090023041, 0.39937686920166016, 0.3840767741203308]","[0.4669228196144104, 0.46580296754837036, 0.4558812975883484, 0.4787697494029999, 0.47520148754119873]","[0.5361625552177429, 0.5407426953315735, 0.5331091284751892, 0.5483762621879578, 0.5434446930885315]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.537338137626648, 0.5418549180030823, 0.5343466997146606, 0.5496127605438232, 0.5445656180381775]","[0.5387914776802063, 0.5388427972793579, 0.5387802720069885, 0.5392457842826843, 0.5389308929443359]","[0.6130275726318359, 0.615422785282135, 0.6114163398742676, 0.6193548440933228, 0.6168230175971985]","[0.6138119101524353, 0.613813579082489, 0.613823413848877, 0.6138838529586792, 0.6138316988945007]","[0.3814845085144043, 0.3880094885826111, 0.384056955575943, 0.3934134840965271, 0.3781346380710602]","[0.47552111744880676, 0.4632357060909271, 0.473052978515625, 0.4698110520839691, 0.4812449514865875]","[0.5361625552177429, 0.5407426953315735, 0.5331091284751892, 0.5483762621879578, 0.5434446930885315]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]",batch_normalisation,dropout,features
Mofn_3_7_10,84130,9.0,1.0,1024.0,2.0,113.77777777777776,0.2222222222222222,512.0,0.2929292929292929,0.0,0.0290898659693086,0.0,0.0539377161172112,1.029517108871029,1.0438171145404014,"[0.37808293104171753, 0.3794260323047638, 0.37759363651275635, 0.37602394819259644, 0.3903581500053406]","[0.48606184124946594, 0.46578213572502136, 0.4813987612724304, 0.4713260531425476, 0.47549378871917725]","[0.3788062632083893, 0.37864890694618225, 0.3723112940788269, 0.37396305799484253, 0.3769322335720062]","[0.4853728413581848, 0.4622251093387604, 0.4821344017982483, 0.46391698718070984, 0.48102661967277527]","[0.39336439967155457, 0.38715970516204834, 0.3898106515407562, 0.39386504888534546, 0.5247111320495605]","[0.4721819758415222, 0.4600173830986023, 0.4698009192943573, 0.4667189419269562, 0.5322569608688354]","[0.55448317527771, 0.5499029755592346, 0.5239487886428833, 0.5437961220741272, 0.529725193977356]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5556174516677856, 0.5510883927345276, 0.52521151304245, 0.5448621511459351, 0.530975341796875]","[0.5393971800804138, 0.5392454862594604, 0.5386277437210083, 0.5388779640197754, 0.5387210845947266]","[0.6224460005760193, 0.6201322078704834, 0.6065139174461365, 0.6170045733451843, 0.6096171140670776]","[0.6139861345291138, 0.6139039993286133, 0.6139208674430847, 0.6138350963592529, 0.6138492822647095]","[0.3823215067386627, 0.3828943073749542, 0.3798963725566864, 0.3772149384021759, 0.39118340611457825]","[0.47737976908683777, 0.4641497731208801, 0.4837692677974701, 0.4695456922054291, 0.47672662138938904]","[0.55448317527771, 0.5499029755592346, 0.5239487886428833, 0.5437961220741272, 0.529725193977356]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]",batch_normalisation,weight_normalisation,features
Mofn_3_7_10,95248,6.0,1.0,1024.0,2.0,170.66666666666666,0.3333333333333333,512.0,0.2929292929292929,0.0,0.0288807370360485,0.0,0.0509055503667732,1.029301829567628,2.087924964668459,"[0.4918447732925415, 0.4818331301212311, 0.49360156059265137, 0.48322466015815735, 0.48412466049194336]","[0.4902653694152832, 0.5161817073822021, 0.499618262052536, 0.49675753712654114, 0.513167142868042]","[0.4872233271598816, 0.4805966913700104, 0.49168822169303894, 0.48281118273735046, 0.4830312728881836]","[0.4963783919811249, 0.5193791389465332, 0.5063078999519348, 0.4982024133205414, 0.5110780596733093]","[0.4947403073310852, 0.4832662045955658, 0.5404948592185974, 0.4897017478942871, 0.5369004011154175]","[0.49491146206855774, 0.5063607692718506, 0.5373421311378479, 0.4862288236618042, 0.535717248916626]","[0.5376892685890198, 0.5422694087028503, 0.5407426953315735, 0.5422694087028503, 0.5388715267181396]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5388127565383911, 0.543615460395813, 0.5419586300849915, 0.5434116721153259, 0.5400316715240479]","[0.5387765169143677, 0.539142370223999, 0.5389530658721924, 0.5389180779457092, 0.5388430953025818]","[0.6138287782669067, 0.616215169429779, 0.6154226064682007, 0.6162150502204895, 0.6144474148750305]","[0.6138092875480652, 0.6138204336166382, 0.6138141751289368, 0.6138212084770203, 0.6138099431991577]","[0.48824840784072876, 0.48170986771583557, 0.4932236075401306, 0.48452380299568176, 0.48456212878227234]","[0.49545398354530334, 0.5193508267402649, 0.5077191591262817, 0.49405449628829956, 0.513969898223877]","[0.5376892685890198, 0.5406399369239807, 0.5407426953315735, 0.5422694087028503, 0.5388715267181396]","[0.5376520156860352, 0.5351458191871643, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]",batch_normalisation,baseline,features
Mofn_3_7_10,83797,8.0,1.0,1024.0,2.0,128.0,0.25,512.0,0.2929292929292929,0.0,0.0272234043411924,0.0,0.0426490409352404,1.027597346830244,1.4569359816443683,"[0.38614723086357117, 0.38913416862487793, 0.3862663805484772, 0.3830181658267975, 0.3820144832134247]","[0.4796158969402313, 0.494108110666275, 0.47215133905410767, 0.48618805408477783, 0.49480777978897095]","[0.38572612404823303, 0.3884643614292145, 0.3809767961502075, 0.3829044997692108, 0.38032862544059753]","[0.4828965961933136, 0.49756506085395813, 0.47107669711112976, 0.48640093207359314, 0.4966590702533722]","[0.39558133482933044, 0.40445324778556824, 0.3875488340854645, 0.3908630907535553, 0.38892117142677307]","[0.4853205978870392, 0.4930081367492676, 0.47262874245643616, 0.47901374101638794, 0.4813794493675232]","[0.5437961220741272, 0.5346358418464661, 0.5361625552177429, 0.55448317527771, 0.5327739715576172]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5448880791664124, 0.5357410311698914, 0.5372437238693237, 0.39927563071250916, 0.5339460372924805]","[0.5389086604118347, 0.5386902093887329, 0.5386998057365417, 0.4426097571849823, 0.5387134552001953]","[0.6170045733451843, 0.6122238039970398, 0.6130276918411255, 0.6224458813667297, 0.6112386584281921]","[0.6138309836387634, 0.6138120293617249, 0.6138099431991577, 0.6139952540397644, 0.6138239502906799]","[0.39191046357154846, 0.3913293778896332, 0.38231784105300903, 0.3829682171344757, 0.38066673278808594]","[0.4776884615421295, 0.4928773045539856, 0.47108379006385803, 0.4858798086643219, 0.4950255751609802]","[0.5437961220741272, 0.5346358418464661, 0.5361625552177429, 0.55448317527771, 0.5327739715576172]","[0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352, 0.5376520156860352]",batch_normalisation,dropout,features
Mofn_3_7_10,27935,10.0,1.0,119.0,2.0,11.9,0.2,59.5,0.2934782608695652,0.0,0.0337491176909637,0.0,0.0938425019746647,1.0343250803097437,0.586684522763599,"[0.5360611081123352, 0.31425830721855164, 0.5358383655548096, 0.535383939743042, 0.5476896166801453]","[0.5214951038360596, 0.33368539810180664, 0.5139941573143005, 0.5211586952209473, 0.5209776163101196]","[0.31335335969924927, 0.3133249878883362, 0.3133356273174286, 0.3133350908756256, 0.3133426010608673]","[0.3878231644630432, 0.39937853813171387, 0.3537333011627197, 0.3946879506111145, 0.3403073251247406]","[0.5370988845825195, 0.5447008013725281, 0.5489388704299927, 0.5369468331336975, 0.413783460855484]","[0.5213419198989868, 0.5179224610328674, 0.5221022367477417, 0.5216413736343384, 0.4428982734680176]","[0.5369459390640259, 0.5501038432121277, 0.5501038432121277, 0.5369459390640259, 0.5501038432121277]","[0.5215951204299927, 0.5215951204299927, 0.5215951204299927, 0.5215951204299927, 0.5215951204299927]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5401266813278198, 0.5530531406402588, 0.5530835390090942, 0.5403317809104919, 0.5530322194099426]","[0.525725781917572, 0.5266721248626709, 0.5267208218574524, 0.5259852409362793, 0.5266384482383728]","[0.6134589314460754, 0.6202435493469238, 0.6202438473701477, 0.6134599447250366, 0.6202429533004761]","[0.6053993105888367, 0.6057613492012024, 0.6057615280151367, 0.6054001450538635, 0.6057608723640442]","[0.5366275906562805, 0.3142809271812439, 0.31424158811569214, 0.5361104011535645, 0.31490668654441833]","[0.5217456221580505, 0.32888859510421753, 0.33210623264312744, 0.5214262008666992, 0.3218207359313965]","[0.5369459390640259, 0.5501038432121277, 0.5501038432121277, 0.5369459390640259, 0.5501038432121277]","[0.5215951204299927, 0.5215951204299927, 0.5215951204299927, 0.5215951204299927, 0.5215951204299927]",batch_normalisation,batch_normalisation,instances
Mofn_3_7_10,55437,10.0,1.0,254.0,2.0,25.4,0.2,127.0,0.2959183673469387,0.0,0.028749501348315,0.0,0.0630221097952206,1.0291667572974843,0.8687997668938354,"[0.313713937997818, 0.5355521440505981, 0.5344854593276978, 0.5204783082008362, 0.5273826718330383]","[0.3170652389526367, 0.5431471467018127, 0.547455906867981, 0.5362303853034973, 0.5477893948554993]","[0.31334537267684937, 0.3133823275566101, 0.3133624792098999, 0.3133377730846405, 0.3133923411369324]","[0.31907522678375244, 0.3157057762145996, 0.31415849924087524, 0.31591108441352844, 0.33298107981681824]","[0.5598224401473999, 0.5414010286331177, 0.5356437563896179, 0.5328367948532104, 0.5283172130584717]","[0.5486454963684082, 0.548882246017456, 0.5490089058876038, 0.5465230345726013, 0.5487709045410156]","[0.560175359249115, 0.5416568517684937, 0.5354840159416199, 0.5341206789016724, 0.527985692024231]","[0.548555850982666, 0.548555850982666, 0.548555850982666, 0.548555850982666, 0.548555850982666]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.562762439250946, 0.5448960661888123, 0.5383815765380859, 0.5371422171592712, 0.5312713980674744]","[0.5521292090415955, 0.5513231158256531, 0.5507280826568604, 0.5507646799087524, 0.5507090091705322]","[0.6252878308296204, 0.6159126162528992, 0.6126923561096191, 0.61197429895401, 0.6087137460708618]","[0.6195428967475891, 0.619493305683136, 0.6195797920227051, 0.6196047067642212, 0.6197431087493896]","[0.5554924607276917, 0.540757954120636, 0.5349386930465698, 0.5335344076156616, 0.5276228189468384]","[0.5453290939331055, 0.5475777387619019, 0.5478160381317139, 0.5479490160942078, 0.5481266379356384]","[0.560175359249115, 0.5416568517684937, 0.5354840159416199, 0.5341206789016724, 0.527985692024231]","[0.548555850982666, 0.548555850982666, 0.548555850982666, 0.548555850982666, 0.548555850982666]",batch_normalisation,batch_normalisation,instances
Mofn_3_7_10,34139,10.0,1.0,384.0,2.0,38.4,0.2,192.0,0.2929292929292929,0.0,0.0280629740839015,0.0,0.07415348207034,1.028460448736755,0.9067447796161848,"[0.31329578161239624, 0.31337448954582214, 0.31330108642578125, 0.3133784234523773, 0.31333503127098083]","[0.3134668469429016, 0.31353428959846497, 0.3134457468986511, 0.3137902319431305, 0.3134594261646271]","[0.3171776831150055, 0.3132913112640381, 0.3133403956890106, 0.3132670819759369, 0.35857680439949036]","[0.32639431953430176, 0.31330227851867676, 0.332740843296051, 0.31343841552734375, 0.37478578090667725]","[0.31749311089515686, 0.5128204226493835, 0.54704749584198, 0.4193788468837738, 0.32135945558547974]","[0.3389609158039093, 0.5198897123336792, 0.5328608751296997, 0.442444384098053, 0.34402555227279663]","[0.5540780425071716, 0.5336698889732361, 0.5490341186523438, 0.5287088751792908, 0.5409040451049805]","[0.5340409874916077, 0.5340409874916077, 0.5340409874916077, 0.5340409874916077, 0.5340409874916077]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5557324290275574, 0.5353899002075195, 0.5508014559745789, 0.530438244342804, 0.5428459048271179]","[0.536697506904602, 0.5357486605644226, 0.5365094542503357, 0.5356071591377258, 0.5362757444381714]","[0.6222491264343262, 0.6117565035820007, 0.6196907758712769, 0.6090885996818542, 0.6155065894126892]","[0.6120927333831787, 0.6119565963745117, 0.6120741963386536, 0.6119723320007324, 0.6119388937950134]","[0.31331193447113037, 0.31334856152534485, 0.31330356001853943, 0.31331485509872437, 0.31331193447113037]","[0.31381431221961975, 0.3135463297367096, 0.3134607970714569, 0.31351932883262634, 0.31338706612586975]","[0.5540780425071716, 0.5336698889732361, 1.0774892568588257, 0.5287024974822998, 0.5409040451049805]","[0.5340409874916077, 0.5340409874916077, 1.092482566833496, 0.5340310335159302, 0.5340409874916077]",weight_normalisation,baseline,instances
Mofn_3_7_10,52894,10.0,1.0,503.0,2.0,50.3,0.2,251.5,0.2930591259640103,0.0,0.024707298138939,0.0,0.0553393128975938,1.0250150527978108,1.1660993637385022,"[0.3133847117424011, 0.31330665946006775, 0.31331828236579895, 0.5121715664863586, 0.3134050965309143]","[0.31350287795066833, 0.3133500814437866, 0.3134399950504303, 0.5209744572639465, 0.3134588897228241]","[0.31328096985816956, 0.31327760219573975, 0.3132752776145935, 0.31327563524246216, 0.31327924132347107]","[0.3140692114830017, 0.3132878541946411, 0.31329408288002014, 0.31329357624053955, 0.3133012354373932]","[0.5336665511131287, 0.3208257853984833, 0.537483811378479, 0.31991174817085266, 0.5268315076828003]","[0.539806067943573, 0.3215397000312805, 0.5331348180770874, 0.3323264420032501, 0.533885657787323]","[0.5344454646110535, 0.5500218868255615, 0.5461809635162354, 0.5337586402893066, 0.5337586402893066]","[0.5409845113754272, 0.5409845113754272, 0.5409845113754272, 0.5409845113754272, 0.5409845113754272]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5362609624862671, 0.5518004298210144, 0.5477927327156067, 0.535485029220581, 0.5356257557868958]","[0.5425683259963989, 0.5431981682777405, 0.542805552482605, 0.5424696803092957, 0.5425921082496643]","[0.6121364235877991, 0.6201944351196289, 0.6182336211204529, 0.6117730736732483, 0.6117779612541199]","[0.6155508756637573, 0.6156226396560669, 0.6155562996864319, 0.6156346201896667, 0.6156466603279114]","[0.31332820653915405, 0.313300758600235, 0.313321977853775, 0.31332069635391235, 0.3134649693965912]","[0.3134416341781616, 0.3133712112903595, 0.3133687973022461, 0.3134186267852783, 0.3135850429534912]","[0.5344454646110535, 0.5500218868255615, 0.5461809635162354, 0.5337586402893066, 0.5337586402893066]","[0.5409845113754272, 0.5409845113754272, 0.5409845113754272, 0.5409845113754272, 0.5409845113754272]",batch_normalisation,weight_normalisation,instances
Mofn_3_7_10,78285,10.0,1.0,665.0,2.0,66.5,0.2,332.5,0.2937743190661478,0.0,0.0291508853462626,0.0,0.0506082918144588,1.0295799312802485,0.8377103063849525,"[0.31330960988998413, 0.3133734464645386, 0.3133286237716675, 0.3166961669921875, 0.31333091855049133]","[0.3133738338947296, 0.31351402401924133, 0.31336653232574463, 0.31899914145469666, 0.31339317560195923]","[0.3132786452770233, 0.3132782578468323, 0.3132783770561218, 0.3132835626602173, 0.3132822811603546]","[0.313315212726593, 0.3133079409599304, 0.313290536403656, 0.3133314251899719, 0.3132993280887604]","[0.32685962319374084, 0.3170589506626129, 0.31379127502441406, 0.5229954123497009, 0.5353270173072815]","[0.3213997483253479, 0.3207929730415344, 0.3136179447174072, 0.5370241403579712, 0.5378596186637878]","[0.5438499450683594, 0.5509087443351746, 0.5480034947395325, 0.5245293378829956, 0.5362665057182312]","[0.5388256311416626, 0.5388256311416626, 0.5388256311416626, 0.5388256311416626, 0.5388256907463074]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5453737378120422, 0.5525799989700317, 0.5495309233665466, 0.526240348815918, 0.5380704998970032]","[0.5405320525169373, 0.5410593748092651, 0.5407207012176514, 0.5401320457458496, 0.5405364036560059]","[0.6170323491096497, 0.6206427812576294, 0.6191646456718445, 0.6068284511566162, 0.6130824685096741]","[0.6144404411315918, 0.6145235896110535, 0.614479660987854, 0.614538848400116, 0.6144262552261353]","[0.313338041305542, 0.31329911947250366, 0.31331247091293335, 0.5205655097961426, 0.3133060932159424]","[0.3133835196495056, 0.31331801414489746, 0.313344269990921, 0.5350436568260193, 0.3133273720741272]","[0.5438499450683594, 0.5509087443351746, 0.5480034947395325, 0.5245293378829956, 0.5362664461135864]","[0.5388256311416626, 0.5388256311416626, 0.5388256311416626, 0.5388256311416626, 0.5388256311416626]",batch_normalisation,batch_normalisation,instances
Mofn_3_7_10,64032,10.0,1.0,732.0,2.0,73.2,0.2,366.0,0.293286219081272,0.0,0.0367698856715779,0.0,0.0512457549676015,1.0374542602777252,0.4559502711102195,"[0.31328240036964417, 0.3132909834384918, 0.31328263878822327, 0.3133130967617035, 0.3132799565792084]","[0.31331324577331543, 0.31334662437438965, 0.3132880926132202, 0.31334996223449707, 0.3132951557636261]","[0.3132692873477936, 0.31330403685569763, 0.31327134370803833, 0.5269368886947632, 0.3132685124874115]","[0.31327614188194275, 0.3383372128009796, 0.3132745325565338, 0.5377515554428101, 0.3133278489112854]","[0.313402384519577, 0.3508414924144745, 0.3182995319366455, 0.3137979209423065, 0.3133658766746521]","[0.3134206533432007, 0.36402902007102966, 0.321512371301651, 0.31971001625061035, 0.31933072209358215]","[0.5483044981956482, 0.5354839563369751, 0.5376207232475281, 0.526936948299408, 0.5547147989273071]","[0.5377515554428101, 0.5377515554428101, 0.5377515554428101, 0.5377515554428101, 0.5377515554428101]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5493661761283875, 0.5367605686187744, 0.5388637781143188, 0.5281597375869751, 0.5558457374572754]","[0.5391183495521545, 0.5389694571495056, 0.5389911532402039, 0.5387437343597412, 0.5395079255104065]","[0.6194621324539185, 0.6126741170883179, 0.6140609979629517, 0.6082432866096497, 0.622562050819397]","[0.6142840385437012, 0.6138749718666077, 0.6141328811645508, 0.6138670444488525, 0.6140491962432861]","[0.31328490376472473, 0.3132919371128082, 0.3132995367050171, 0.3133048415184021, 0.3132827877998352]","[0.31332045793533325, 0.3133089244365692, 0.31333833932876587, 0.31335294246673584, 0.3132993280887604]","[0.5483044981956482, 0.5354839563369751, 0.5376207232475281, 0.526936948299408, 0.5548680424690247]","[0.5377515554428101, 0.5377515554428101, 0.5377515554428101, 0.5377515554428101, 0.5379474759101868]",baseline,baseline,instances
Mofn_3_7_10,6482,10.0,1.0,806.0,2.0,80.6,0.2,403.0,0.2937399678972712,0.0,0.036487527655971,0.0,0.0578480406252093,1.0371613681036829,0.4681282026784037,"[0.31328633427619934, 0.3132847547531128, 0.3132864534854889, 0.3132893145084381, 0.31328117847442627]","[0.3133072257041931, 0.3133096694946289, 0.31329554319381714, 0.3133058547973633, 0.3133014738559723]","[0.31326788663864136, 0.31327012181282043, 0.31496813893318176, 0.3132666349411011, 0.3132804334163666]","[0.31328579783439636, 0.31330302357673645, 0.3394906222820282, 0.3132750988006592, 0.31331130862236023]","[0.31566759943962097, 0.3242618441581726, 0.31347477436065674, 0.3135271966457367, 0.3169356882572174]","[0.31372055411338806, 0.33129653334617615, 0.31349483132362366, 0.3135116994380951, 0.31333622336387634]","[0.5326792597770691, 0.5307375192642212, 0.5482132434844971, 0.5423879623413086, 0.545819878578186]","[0.5416567921638489, 0.5416568517684937, 0.5416568517684937, 0.5416568517684937, 0.5416568517684937]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5339275598526001, 0.5318629741668701, 0.31549373269081116, 0.5436448454856873, 0.5468366742134094]","[0.5426890254020691, 0.5425525903701782, 0.3157217502593994, 0.5429351925849915, 0.5428138375282288]","[0.611188530921936, 0.6101899147033691, 0.6192947626113892, 0.6163157820701599, 0.618087112903595]","[0.6159431338310242, 0.6161022186279297, 0.615999698638916, 0.6159298419952393, 0.615906834602356]","[0.3132852613925934, 0.3133091628551483, 0.31327900290489197, 0.31328245997428894, 0.31328079104423523]","[0.31331393122673035, 0.3133668303489685, 0.3133038580417633, 0.31329265236854553, 0.3132971227169037]","[0.5326792597770691, 0.5307375192642212, 0.5482132434844971, 0.5423879623413086, 0.545819878578186]","[0.5416568517684937, 0.5416568517684937, 0.5416568517684937, 0.5416568517684937, 0.5416568517684937]",baseline,baseline,instances
Mofn_3_7_10,98564,10.0,1.0,986.0,2.0,98.6,0.2,493.0,0.292267365661861,0.0,0.0392190065388072,0.0,0.0689359457862011,1.0399982251224615,0.3631207512496885,"[0.3132856786251068, 0.3133765161037445, 0.31328117847442627, 0.31328025460243225, 0.3132912218570709]","[0.3133009672164917, 0.31342411041259766, 0.31328994035720825, 0.3132953345775604, 0.3132990896701813]","[0.31327104568481445, 0.31326937675476074, 0.3132687211036682, 0.3132683038711548, 0.31327101588249207]","[0.31329190731048584, 0.31328389048576355, 0.31327345967292786, 0.3132757246494293, 0.31328296661376953]","[0.5300766229629517, 0.5284412503242493, 0.31538134813308716, 0.3134262263774872, 0.31460443139076233]","[0.5396670699119568, 0.5396491289138794, 0.3146198093891144, 0.32242923974990845, 0.3152996003627777]","[0.5307220816612244, 0.5291348099708557, 0.5513570308685303, 0.5462250113487244, 0.5383016467094421]","[0.540534496307373, 0.540534496307373, 0.540534496307373, 0.5405341386795044, 0.5405347347259521]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5319344997406006, 0.5302606225013733, 0.5525789260864258, 0.5473452210426331, 0.5394842028617859]","[0.5415253043174744, 0.5414272546768188, 0.5421422123908997, 0.541886568069458, 0.5416603684425354]","[0.6101486086845398, 0.6093018054962158, 0.6208701133728027, 0.6182549595832825, 0.6141493320465088]","[0.6153737902641296, 0.6153990030288696, 0.6153802871704102, 0.6153295636177063, 0.6153178215026855]","[0.3133954703807831, 0.31330549716949463, 0.3132795989513397, 0.31327930092811584, 0.31328728795051575]","[0.3134314715862274, 0.3133270740509033, 0.313292920589447, 0.3132877051830292, 0.31331130862236023]","[0.5307220816612244, 0.5291348099708557, 0.5513570308685303, 0.5462253093719482, 0.538301408290863]","[0.540534496307373, 0.540534496307373, 0.540534496307373, 0.540534496307373, 0.540534496307373]",batch_normalisation,batch_normalisation,instances
Obesity Levels,92519,16.0,0.5,618.0,2.0,38.625,0.125,309.0,0.7606837606837606,0.0625,0.1080604627080656,0.0,0.6846908174143326,1.1141151057664431,-0.6044569240568393,"[0.3132801651954651, 0.3132795989513397, 0.313278466463089, 0.3132789433002472, 0.31328046321868896]","[0.31328433752059937, 0.3134017288684845, 0.3135679066181183, 0.3132885992527008, 0.31335824728012085]","[0.31327471137046814, 0.3132762312889099, 0.31327542662620544, 0.31327569484710693, 0.31327468156814575]","[0.3132783770561218, 0.3132806420326233, 0.3132898807525635, 0.3132947087287903, 0.31328365206718445]","[0.3132880926132202, 0.313291072845459, 0.31328800320625305, 0.3133406341075897, 0.3133758008480072]","[0.31329184770584106, 0.31445756554603577, 0.31331443786621094, 0.31334495544433594, 0.31331172585487366]","[0.8879453539848328, 0.7436415553092957, 0.7537680864334106, 0.7309826612472534, 0.7551808953285217]","[0.8777778148651123, 0.7487455606460571, 0.7487455606460571, 0.7487450838088989, 0.7487455606460571]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3145657479763031, 0.31455859541893005, 0.3144380748271942, 0.3144836127758026, 0.31471797823905945]","[0.31448549032211304, 0.31442952156066895, 0.31431835889816284, 0.314420610666275, 0.31461024284362793]","[0.6867702603340149, 0.6876035928726196, 0.6890929937362671, 0.6854203939437866, 0.689278781414032]","[0.6884958744049072, 0.6883914470672607, 0.6884320378303528, 0.6887495517730713, 0.6884283423423767]","[0.3132784962654114, 0.3132804334163666, 0.313278466463089, 0.31327834725379944, 0.3132788836956024]","[0.31337305903434753, 0.31328582763671875, 0.3133126497268677, 0.31343668699264526, 0.31339213252067566]","[0.8879453539848328, 0.7436415553092957, 0.7537680864334106, 0.8955402970314026, 0.7551808953285217]","[0.8777778148651123, 0.7487455606460571, 0.7487455606460571, 0.8777778148651123, 0.7487455606460571]",batch_normalisation,batch_normalisation,classes
