model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,prune,"[0.17268041237113402, 0.18298969072164947, 0.15938303341902313, 0.20822622107969152, 0.12082262210796915, 0.13110539845758354, 0.15681233933161953, 0.15424164524421594, 0.14138817480719795, 0.08483290488431877]",0.2986111111111111,Models\NN\20260731_14\prune.pt,"[82.73195876288659, 81.70103092783505, 84.06169665809769, 79.17737789203085, 87.91773778920309, 86.88946015424165, 84.31876606683805, 84.57583547557842, 85.8611825192802, 91.51670951156812]","[0.6995515695067265, 0.7193675889328063, 0.7633587786259542, 0.6666666666666666, 0.8127490039840638, 0.7829787234042553, 0.7510204081632653, 0.7560975609756098, 0.7441860465116279, 0.8607594936708861]",108.0,279.0,11.0,34.0,70.13888888888889,0.24561403508771928,7.0,94.0,3.0,40.0
Neural Network,weight normalisation,"[0.07474226804123711, 0.06958762886597938, 0.07197943444730077, 0.07969151670951156, 0.056555269922879174, 0.12082262210796915, 0.07969151670951156, 0.08483290488431877, 0.11311053984575835, 0.06683804627249357]",0.2777777777777778,Models\NN\20260731_14\weight_normalisation.pt,"[92.5257731958763, 93.04123711340206, 92.80205655526991, 92.03084832904884, 94.34447300771208, 87.91773778920309, 92.03084832904884, 91.51670951156812, 88.68894601542416, 93.31619537275064]","[0.8599033816425121, 0.8755760368663594, 0.8691588785046729, 0.8472906403940886, 0.9, 0.745945945945946, 0.8544600938967136, 0.8421052631578947, 0.7821782178217822, 0.8712871287128713]",104.0,301.0,4.0,23.0,72.22222222222221,0.2857142857142857,8.0,96.0,9.0,31.0
Neural Network,weight decay,"[0.08505154639175258, 0.12886597938144329, 0.10282776349614396, 0.11053984575835475, 0.09254498714652956, 0.10539845758354756, 0.11311053984575835, 0.10539845758354756, 0.09254498714652956, 0.09511568123393316]",0.4305555555555556,Models\NN\20260731_14\weight_decay.pt,"[91.49484536082474, 87.11340206185567, 89.7172236503856, 88.94601542416453, 90.74550128534705, 89.46015424164524, 88.68894601542416, 89.46015424164524, 90.74550128534705, 90.48843187660668]","[0.8619246861924686, 0.7844827586206896, 0.8214285714285714, 0.8088888888888889, 0.8392857142857143, 0.8161434977578476, 0.7981651376146789, 0.8225108225108225, 0.8461538461538461, 0.8464730290456431]",121.0,288.0,2.0,21.0,56.94444444444444,0.27906976744186046,12.0,70.0,30.0,32.0
Neural Network,weight perturbation,"[0.10051546391752578, 0.09278350515463918, 0.08997429305912596, 0.10025706940874037, 0.10539845758354756, 0.08740359897172237, 0.07969151670951156, 0.061696658097686374, 0.12082262210796915, 0.16709511568123395]",0.19444444444444445,Models\NN\20260731_14\weight_perturbation.pt,"[89.94845360824742, 90.72164948453609, 91.00257069408741, 89.97429305912597, 89.46015424164524, 91.25964010282776, 92.03084832904884, 93.83033419023135, 87.91773778920309, 83.29048843187661]","[0.5894736842105263, 0.660377358490566, 0.6391752577319587, 0.5806451612903226, 0.6019417475728155, 0.6666666666666666, 0.6990291262135923, 0.7966101694915254, 0.47191011235955055, 0.057971014492753624]",27.0,357.0,0.0,48.0,80.55555555555556,0.06666666666666667,1.0,115.0,6.0,22.0
Random forest,baseline,"[0.13659793814432988, 0.15206185567010308, 0.14395886889460155, 0.15167095115681234, 0.14652956298200515, 0.14138817480719795, 0.13367609254498714, 0.14395886889460155, 0.14395886889460155, 0.14138817480719795]",0.11805555555555555,Models\RandomForest\20260731_Jul\baseline.pkl,"[86.34020618556701, 84.79381443298969, 85.60411311053984, 84.83290488431876, 85.34704370179949, 85.8611825192802, 86.63239074550128, 85.60411311053984, 85.60411311053984, 85.8611825192802]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,370.0,0.0,62.0,88.19444444444444,0.0,0.0,127.0,0.0,17.0
Random forest,batch normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.19791666666666669,Models\RandomForest\20260731_Jul\batch_normalisation.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",64.0,368.0,0.0,0.0,79.16666666666666,0.06666666666666667,1.0,115.0,4.0,24.0
Random forest,dropout,"[0.08247422680412371, 0.08505154639175258, 0.07969151670951156, 0.061696658097686374, 0.07455012853470437, 0.07969151670951156, 0.07969151670951156, 0.07969151670951156, 0.08483290488431877, 0.07969151670951156]",0.09027777777777778,Models\RandomForest\20260731_Jul\dropout.pkl,"[91.75257731958763, 91.49484536082474, 92.03084832904884, 93.83033419023135, 92.54498714652956, 92.03084832904884, 92.03084832904884, 92.03084832904884, 91.51670951156812, 92.03084832904884]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,398.0,0.0,34.0,90.97222222222221,0.0,0.0,131.0,0.0,13.0
Random forest,layer normalisation,"[0.03865979381443299, 0.01804123711340206, 0.02056555269922879, 0.028277634961439587, 0.028277634961439587, 0.02056555269922879, 0.02570694087403599, 0.03598971722365039, 0.028277634961439587, 0.028277634961439587]",0.2152777777777778,Models\RandomForest\20260731_Jul\layer_normalisation.pkl,"[96.1340206185567, 98.19587628865979, 97.94344473007712, 97.17223650385604, 97.17223650385604, 97.94344473007712, 97.42930591259639, 96.40102827763496, 97.17223650385604, 97.17223650385604]","[0.9411764705882353, 0.9704641350210971, 0.967479674796748, 0.9539748953974896, 0.9561752988047809, 0.9666666666666667, 0.96, 0.9426229508196722, 0.9558232931726908, 0.9554655870445344]",132.0,290.0,4.0,6.0,78.47222222222221,0.45614035087719296,13.0,100.0,1.0,30.0
Random forest,prune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3888888888888889,Models\RandomForest\20260731_Jul\prune.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",142.0,290.0,0.0,0.0,61.111111111111114,0.06666666666666667,2.0,86.0,11.0,45.0
Random forest,weight normalisation,"[0.1134020618556701, 0.13402061855670103, 0.12853470437017994, 0.12596401028277635, 0.11825192802056556, 0.12596401028277635, 0.12082262210796915, 0.11825192802056556, 0.13881748071979436, 0.11568123393316196]",0.2569444444444444,Models\RandomForest\20260731_Jul\weight_normalisation.pkl,"[88.65979381443299, 86.5979381443299, 87.146529562982, 87.40359897172236, 88.17480719794345, 87.40359897172236, 87.91773778920309, 88.17480719794345, 86.11825192802056, 88.4318766066838]","[0.794392523364486, 0.7346938775510204, 0.7619047619047619, 0.7677725118483413, 0.7788461538461539, 0.7537688442211056, 0.7707317073170732, 0.7850467289719626, 0.73, 0.7982062780269058]",80.0,291.0,14.0,47.0,74.30555555555556,0.27450980392156865,7.0,100.0,5.0,32.0
