dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Churn,20.0,0.85,3490.0,2.0,174.5,0.1,1745.0,0.1644978311644978,0.75,0.0126651749103211,0.0,0.0581759745470409,1.0127457179092842,0.6077374428721438,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,4316.0,2.0,215.8,0.1,2158.0,0.1645979492714517,0.75,0.0115009748452903,0.0,0.0562073857249034,1.0115673653308,0.7710617727339725,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,4500.0,2.0,225.0,0.1,2250.0,0.1645962732919254,0.75,0.009988952343899,0.0,0.0558787335613388,1.010039008458916,1.039135308634543,-1,1,1,2,1,1,1,1,1
Dry Bean,16.0,1.0,6523.0,3.0,407.6875,0.1875,2174.333333333333,0.7056145675265554,0.75,0.5753581678301876,0.195286715727631,0.9522567835959652,1.7777671519013127,-0.8819069566123781,-1,3,1,2,3,4,2,3,3
Dry Bean,16.0,1.0,7504.0,3.0,469.0,0.1875,2501.333333333333,0.3728144388042865,1.0,0.4379523056503611,0.0096126386881683,0.8352404526233861,1.5495310017837067,-0.853349375670897,-1,1,1,2,1,2,1,1,2
Dry Bean,16.0,1.0,9672.0,4.0,604.5,0.25,2418.0,0.4596728708403835,1.0,0.6593633975964464,0.0836048614311759,0.9520521062253644,1.9335610329179,-0.8730489187444013,4,1,1,1,2,2,1,3,2
Dry Bean,16.0,1.0,4496.0,2.0,281.0,0.125,2248.0,0.7056145675265554,0.6875,0.3418228346106977,0.0323231117267264,0.5865628926653068,1.4075109132047356,-0.8759998508221235,-1,1,2,1,1,2,2,3,1
Dry Bean,16.0,1.0,5573.0,2.0,348.3125,0.125,2786.5,0.571630005640158,1.0,0.3011609854291416,0.0233072770092688,0.5464433086751388,1.351426884063842,-0.8639582659545428,-1,3,2,1,1,2,1,1,1
Dry Bean,8.0,1.0,13543.0,7.0,1692.875,0.875,1934.7142857142856,0.1472081218274111,1.0,0.6976845815228594,0.1972448501214692,1.037781963937348,2.009095421107362,-0.6714485114509613,4,3,1,2,3,3,2,3,3
Dry Bean,11.0,1.0,13543.0,7.0,1231.1818181818182,0.6363636363636364,1934.7142857142856,0.1472081218274111,1.0,0.8408838123696639,0.1972732651281021,1.0551612839038398,2.318415115519707,-0.801745125415493,5,3,1,2,4,3,2,1,3
