model type,technique,training loses,testing loses,training accuracies,testing accuracies
Random forest,weight normalisation,"[0.21, 0.18333333333333332, 0.18666666666666668, 0.15333333333333332, 0.19]","[0.2222222222222222, 0.2222222222222222, 0.23703703703703705, 0.18518518518518517, 0.22962962962962963]","[79.0, 81.66666666666667, 81.33333333333333, 84.66666666666667, 81.0]","[77.77777777777779, 77.77777777777779, 76.29629629629629, 81.48148148148148, 77.03703703703704]"
Random forest,weight decay,"[0.17, 0.18333333333333332, 0.21666666666666667, 0.18333333333333332, 0.16333333333333333]","[0.37777777777777777, 0.34814814814814815, 0.3333333333333333, 0.32592592592592595, 0.31851851851851853]","[83.0, 81.66666666666667, 78.33333333333333, 81.66666666666667, 83.66666666666667]","[62.22222222222222, 65.18518518518519, 66.66666666666666, 67.4074074074074, 68.14814814814815]"
Random forest,weight perturbation,"[0.25666666666666665, 0.23333333333333334, 0.26666666666666666, 0.26666666666666666, 0.25666666666666665]","[0.15555555555555556, 0.15555555555555556, 0.15555555555555556, 0.15555555555555556, 0.15555555555555556]","[74.33333333333333, 76.66666666666667, 73.33333333333333, 73.33333333333333, 74.33333333333333]","[84.44444444444444, 84.44444444444444, 84.44444444444444, 84.44444444444444, 84.44444444444444]"
svm,baseline,"[0.16333333333333333, 0.19666666666666666, 0.17666666666666667, 0.17666666666666667, 0.19]","[0.18518518518518517, 0.14074074074074075, 0.14074074074074075, 0.15555555555555556, 0.14074074074074075]","[83.66666666666667, 80.33333333333333, 82.33333333333334, 82.33333333333334, 81.0]","[81.48148148148148, 85.92592592592592, 85.92592592592592, 84.44444444444444, 85.92592592592592]"
svm,batch normalisation,"[0.03, 0.043333333333333335, 0.03333333333333333, 0.04, 0.03666666666666667]","[0.4148148148148148, 0.34074074074074073, 0.3333333333333333, 0.3333333333333333, 0.4148148148148148]","[97.0, 95.66666666666667, 96.66666666666667, 96.0, 96.33333333333334]","[58.51851851851851, 65.92592592592592, 66.66666666666666, 66.66666666666666, 58.51851851851851]"
svm,dropout,"[0.08666666666666667, 0.09666666666666666, 0.09333333333333334, 0.11333333333333333, 0.09]","[0.31851851851851853, 0.26666666666666666, 0.2814814814814815, 0.2740740740740741, 0.22962962962962963]","[91.33333333333333, 90.33333333333333, 90.66666666666666, 88.66666666666667, 91.0]","[68.14814814814815, 73.33333333333333, 71.85185185185186, 72.5925925925926, 77.03703703703704]"
svm,layer normalisation,"[0.11333333333333333, 0.14666666666666667, 0.14666666666666667, 0.14666666666666667, 0.13333333333333333]","[0.5333333333333333, 0.5481481481481482, 0.5555555555555556, 0.5481481481481482, 0.5259259259259259]","[88.66666666666667, 85.33333333333334, 85.33333333333334, 85.33333333333334, 86.66666666666667]","[46.666666666666664, 45.18518518518518, 44.44444444444444, 45.18518518518518, 47.40740740740741]"
svm,prune,"[0.13666666666666666, 0.14666666666666667, 0.15666666666666668, 0.14666666666666667, 0.13666666666666666]","[0.31851851851851853, 0.2962962962962963, 0.3037037037037037, 0.3111111111111111, 0.2740740740740741]","[86.33333333333333, 85.33333333333334, 84.33333333333334, 85.33333333333334, 86.33333333333333]","[68.14814814814815, 70.37037037037037, 69.62962962962963, 68.88888888888889, 72.5925925925926]"
svm,weight normalisation,"[0.10333333333333333, 0.09, 0.11, 0.11, 0.09666666666666666]","[0.34074074074074073, 0.362962962962963, 0.42962962962962964, 0.34814814814814815, 0.362962962962963]","[89.66666666666666, 91.0, 89.0, 89.0, 90.33333333333333]","[65.92592592592592, 63.70370370370371, 57.03703703703704, 65.18518518518519, 63.70370370370371]"
svm,weight decay,"[0.02, 0.03, 0.02666666666666667, 0.03333333333333333, 0.03333333333333333]","[0.3925925925925926, 0.45185185185185184, 0.4888888888888889, 0.45925925925925926, 0.4148148148148148]","[98.0, 97.0, 97.33333333333334, 96.66666666666667, 96.66666666666667]","[60.74074074074074, 54.81481481481482, 51.11111111111111, 54.074074074074076, 58.51851851851851]"
svm,weight perturbation,"[0.056666666666666664, 0.04, 0.05, 0.03, 0.04666666666666667]","[0.3851851851851852, 0.34074074074074073, 0.35555555555555557, 0.31851851851851853, 0.34074074074074073]","[94.33333333333334, 96.0, 95.0, 97.0, 95.33333333333334]","[61.48148148148148, 65.92592592592592, 64.44444444444444, 68.14814814814815, 65.92592592592592]"
