dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0.4357497634534258,-1.2096353404404254,1.2752172823414616,-1.2347624678917017,1.017254065175138,-1.3161005806694495,1.626778331164624,1.205092565861367,-0.2113758173666899,0.9464888984740953,0.6179909676774977,1.1332594867034775,0.9211543153142656,-1.3362014993681586,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.8026969326773633,-1.3692873992297736,1.2752172823414616,-1.2347624678917017,0.92523618974626,-1.46395430606888,1.626778331164624,1.205092565861367,-0.3143145556071061,0.7555165532513304,0.09889311033271585,1.1366487714817235,0.7125155112650664,-1.3244010931859687,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.11467099038248048,-1.250745360219579,1.2752172823414616,-1.2347624678917017,1.180820918551141,-1.0264772092356838,1.626778331164624,1.205092565861367,-0.4301206361275741,1.1014168890673643,0.09889311033271585,1.1344660591782438,1.094413399621732,-1.2731742583013734,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.06880259422948828,-1.1696682745548839,1.2752172823414616,-1.2347624678917017,1.1222206425143375,-1.134114407407046,1.626778331164624,1.205092565861367,-0.4806002096877784,0.6216249017777423,0.09889311033271585,1.133071963866814,0.5695063894819391,-1.0668168977949442,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.29814457499444924,-1.1118967137476707,1.2752172823414616,-1.2347624678917017,1.2444310017846885,-0.9049304315641556,1.626778331164624,1.205092565861367,-0.6090936696592067,1.055496125191716,0.6179909676774977,1.135301764141268,1.042693654284209,-1.1895303588973962,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,1,0,1,0,0,0,0
Agaricus Lepiota,0.8026969326773633,-1.080932308716871,1.2752172823414616,-1.2347624678917017,0.92523618974626,-1.46395430606888,1.626778331164624,1.205092565861367,-0.3143145556071061,0.7762951344634368,0.6179909676774977,1.1329313772810834,0.7349497789704688,-1.3337679716768682,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.9861705172893321,-1.1809694220405367,1.2752172823414616,-1.2347624678917017,0.8831501366865244,-1.5279203795102136,1.626778331164624,1.205092565861367,-0.2113758173666899,0.7908482402922561,0.6179909676774977,1.132203989859945,0.7507012261628834,-1.3733025385291857,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,-1.7314465518839912,-1.2347624678917017,-2.1702487433011752,-1.6893722106808045,-1.2077614173684146,1.1925195603499017,-0.33637285665862376,0.7145694117449104,-0.6865785380022681,1.1536618779131427,0.6684955577352792,-1.4259553893711043,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,1,0,1,0,0,1,1
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,-0.07489918395491443,-1.2347624678917017,-0.5049849715988097,-1.6893722106808045,0.3868598655708053,1.201879526239728,-0.33637285665862376,0.6337411207899548,-0.0345345155546029,1.120517519997696,0.5823377667251238,-1.3936830860457607,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,0.2643607339010717,-1.2347624678917017,-0.17507774127250691,-1.6893722106808045,0.7033715858322889,1.2056116645375705,-0.33637285665862376,0.6781907691688445,-0.3237313468706913,1.1372567740490642,0.6295976916320978,-1.4115692571514389,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
