dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0.41246159905051183,-1.4705545331252665,1.3437512663170934,-1.0642972096699015,1.102480506484578,-1.0952175660194674,1.560325301523054,1.057819920420158,-0.27916705327638,0.9797768431829641,0.13746825387551934,1.183546383198642,0.9638970935098724,-1.4169790523748955,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.7856174486137011,-1.5834483743769208,1.3437512663170934,-1.0642972096699015,0.9973348463073162,-1.2260030447880348,1.560325301523054,1.057819920420158,-0.37866279041642453,0.7944377041337638,-0.21619110474875153,1.1863132137902068,0.7606049170193739,-1.4049945643911865,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.14727217529427206,-1.5009935568436668,1.3437512663170934,-1.0642972096699015,1.2907654036749039,-0.8389385854002391,1.560325301523054,1.057819920420158,-0.49059549469897445,1.129895604965442,-0.21619110474875153,1.1845315459913617,1.1320310706137908,-1.3529923615454305,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.03930574948732258,-1.4401032245977674,1.3437512663170934,-1.0642972096699015,1.2231049606902895,-0.9341977966982821,1.560325301523054,1.057819920420158,-0.5393866734888041,0.6643243518644679,-0.21619110474875153,1.183393253349679,0.6208027376127726,-1.143923983303354,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.3338501000758667,-1.3946441436841857,1.3437512663170934,-1.0642972096699015,1.3644703793037603,-0.7313481999704826,1.560325301523054,1.057819920420158,-0.6635824013174608,1.0854246163731813,0.13746825387551934,1.1852137788960015,1.081912220615592,-1.2681677959243853,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,1,0,1,0,0,0,0
Agaricus Lepiota,0.7856174486137011,-1.369599188544042,1.3437512663170934,-1.0642972096699015,0.9973348463073162,-1.2260030447880348,1.560325301523054,1.057819920420158,-0.37866279041642453,0.8146178142578356,0.13746825387551934,1.1832784481398169,0.782503745677989,-1.4145073968085484,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.9721953733952957,-1.4487979071097805,1.3437512663170934,-1.0642972096699015,0.9494296951696091,-1.282575696562468,1.560325301523054,1.057819920420158,-0.27916705327638,0.8287497389713521,0.13746825387551934,1.182684408678056,0.7978737964919255,-1.4546719522356568,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5319291477400796,-1.521213977684362,-1.7746854999940693,-1.0642972096699015,-2.2413316502358565,-1.4253425030651488,-1.2181210446686195,1.0450070207135156,-0.39998330551786254,0.7546601961481342,-0.6940004248008215,1.2001777704708272,0.7176095366163032,-1.508198249039498,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,1,0,1,0,0,1,1
Agaricus Lepiota,1.5319291477400796,-1.521213977684362,-0.1174210975695209,-1.0642972096699015,-0.5681542598768914,-1.4253425030651488,0.3330348799530507,1.0545455756830953,-0.39998330551786254,0.6761040448538892,-0.3015827483630265,1.1731303870095318,0.6333604653206913,-1.4753859749786178,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5319291477400796,-1.521213977684362,0.24037206819654255,-1.0642972096699015,-0.2181445670519339,-1.4253425030651488,0.6445645852401143,1.0583489235507129,-0.39998330551786254,0.7193101007629579,-0.4803384765960398,1.186809386812334,0.6795889604106461,-1.4935696199597046,-0.6648302265076967,-0.8923129233539454,0.49731757721366693,-0.9740651090211225,-0.00884096514356445,0.14533470601735318,0.18144368465060595,-0.4521477450347095,0,0,0,1,0,0,0,0
