model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positive,testing true negative,testing false positive,testing false negative
Neural Network,baseline,"[0.16333333333333333, 0.14666666666666667, 0.17, 0.16333333333333333, 0.15333333333333332]","[0.2, 0.2074074074074074, 0.2074074074074074, 0.17777777777777778, 0.17037037037037037]","[83.66666666666667, 85.33333333333334, 83.0, 83.66666666666667, 84.66666666666667]","[0.8104357953873079, 0.8416937604316712, 0.8057303929696569, 0.8211438686443264, 0.8214830474022279]",0.7898533635676492,82.96296296296296,1.0,111.0,5.0,18.0
Neural Network,batch normalisation,"[0.09333333333333334, 0.14, 0.06666666666666667, 0.09333333333333334, 0.12333333333333334]","[0.34814814814814815, 0.32592592592592595, 0.3925925925925926, 0.4148148148148148, 0.23703703703703705]","[90.66666666666666, 86.0, 93.33333333333333, 90.66666666666666, 87.66666666666667]","[0.9031930476373498, 0.8508159392789374, 0.9298372513562386, 0.8995968120018752, 0.8639021655860536]",0.6833177140511063,69.62962962962963,9.0,85.0,17.0,24.0
Neural Network,dropout,"[0.09666666666666666, 0.11333333333333333, 0.09, 0.11, 0.16]","[0.2222222222222222, 0.21481481481481482, 0.22962962962962963, 0.23703703703703705, 0.2222222222222222]","[90.33333333333333, 88.66666666666667, 91.0, 89.0, 84.0]","[0.8843891684639348, 0.8624071631290722, 0.8967237659535753, 0.8671137312699583, 0.7759218559218559]",0.7647612326511409,77.77777777777779,11.0,94.0,11.0,19.0
Neural Network,layer normalisation,"[0.09, 0.07666666666666666, 0.09666666666666666, 0.08333333333333333, 0.09666666666666666]","[0.5481481481481482, 0.7185185185185186, 0.5481481481481482, 0.5851851851851851, 0.5851851851851851]","[91.0, 92.33333333333333, 90.33333333333333, 91.66666666666666, 90.33333333333333]","[0.904801184915119, 0.9219542494994561, 0.8988130232154387, 0.9136177356441021, 0.8963027539498127]",0.36827393431167016,39.25925925925926,12.0,41.0,29.0,53.0
Neural Network,prune,"[0.16666666666666666, 0.15, 0.16333333333333333, 0.17, 0.17]","[0.3925925925925926, 0.3851851851851852, 0.4222222222222222, 0.3111111111111111, 0.3851851851851852]","[83.33333333333334, 85.0, 83.66666666666667, 83.0, 83.0]","[0.8267436884895164, 0.8447675981515381, 0.8334090768755789, 0.8242791107197887, 0.8268644159206127]",0.6399176954732511,62.96296296296296,20.0,65.0,30.0,20.0
Neural Network,weight normalisation,"[0.19333333333333333, 0.17666666666666667, 0.19666666666666666, 0.21666666666666667, 0.23333333333333334]","[0.37777777777777777, 0.37777777777777777, 0.4148148148148148, 0.3925925925925926, 0.43703703703703706]","[80.66666666666666, 82.33333333333334, 80.33333333333333, 78.33333333333333, 76.66666666666667]","[0.8048696315362981, 0.8222671280603748, 0.8037064290504934, 0.781805459726429, 0.7659950167912469]",0.5849279470824474,53.333333333333336,10.0,62.0,48.0,15.0
Neural Network,weight decay,"[0.16, 0.17333333333333334, 0.17, 0.16, 0.16]","[0.43703703703703706, 0.43703703703703706, 0.4222222222222222, 0.37037037037037035, 0.4]","[84.0, 82.66666666666667, 83.0, 84.0, 84.0]","[0.8376595850539827, 0.8211526544102458, 0.8243982647450521, 0.8325317097919837, 0.8357363253856943]",0.4951750758202372,55.55555555555556,1.0,74.0,18.0,42.0
Neural Network,weight perturbation,"[0.12333333333333334, 0.13, 0.11, 0.11666666666666667, 0.12666666666666668]","[0.2, 0.21481481481481482, 0.17037037037037037, 0.17777777777777778, 0.2]","[87.66666666666667, 87.0, 89.0, 88.33333333333333, 87.33333333333333]","[0.8645765998707176, 0.862316532925541, 0.8799126469714705, 0.8742364476501747, 0.8600493967892088]",0.7737037037037037,80.74074074074075,2.0,107.0,7.0,19.0
Random forest,baseline,"[0.12, 0.15666666666666668, 0.13333333333333333, 0.14666666666666667, 0.13333333333333333]","[0.23703703703703705, 0.2518518518518518, 0.24444444444444444, 0.31851851851851853, 0.2740740740740741]","[88.0, 84.33333333333334, 86.66666666666667, 85.33333333333334, 86.66666666666667]","[0.8674152180108293, 0.8257652353521954, 0.854457324462126, 0.8373762805635651, 0.8536433683151565]",0.710608733926017,69.62962962962963,1.0,93.0,23.0,18.0
Random forest,batch normalisation,"[0.09666666666666666, 0.1, 0.10333333333333333, 0.09, 0.11666666666666667]","[0.31851851851851853, 0.3037037037037037, 0.34814814814814815, 0.34074074074074073, 0.24444444444444444]","[90.33333333333333, 90.0, 89.66666666666666, 91.0, 88.33333333333333]","[0.8980117145334537, 0.8930078360458108, 0.8904172285018285, 0.9063702081756856, 0.8762775160504515]",0.6974434611602752,74.81481481481481,5.0,96.0,6.0,28.0
Random forest,dropout,"[0.11666666666666667, 0.09333333333333334, 0.10333333333333333, 0.12333333333333334, 0.1]","[0.24444444444444444, 0.2518518518518518, 0.24444444444444444, 0.23703703703703705, 0.23703703703703705]","[88.33333333333333, 90.66666666666666, 89.66666666666666, 87.66666666666667, 90.0]","[0.8525026890984471, 0.8911042311661506, 0.8764704276863451, 0.8478959578591119, 0.8793610074626864]",0.7286868686868686,74.81481481481481,8.0,93.0,12.0,22.0
