model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
KNN,dropout,"[0.09876543209876543, 0.09876543209876543, 0.08641975308641975, 0.09876543209876543, 0.11419753086419752, 0.13271604938271606, 0.10185185185185185, 0.10802469135802469, 0.10185185185185185, 0.10802469135802469]",0.08148148148148149,Models\KNN\20260420_Apr\dropout.pkl,"[90.12345679012346, 90.12345679012346, 91.35802469135803, 90.12345679012346, 88.58024691358025, 86.72839506172839, 89.81481481481481, 89.19753086419753, 89.81481481481481, 89.19753086419753]","[0.3005464480874317, 0.2808988764044944, 0.25316455696202533, 0.24390243902439024, 0.1928374655647383, 0.22535211267605634, 0.2801120448179272, 0.2465753424657534, 0.2801120448179272, 0.2857142857142857]",9.0,313.0,5.0,33.0,91.85185185185185,0.0,0.0,124.0,0.0,11.0
KNN,layer normalisation,"[0.12037037037037036, 0.10185185185185185, 0.11419753086419752, 0.11728395061728394, 0.12654320987654322, 0.12345679012345678, 0.12345679012345678, 0.10802469135802469, 0.12037037037037036, 0.12345679012345678]",0.3925925925925926,Models\KNN\20260420_Apr\layer_normalisation.pkl,"[87.96296296296296, 89.81481481481481, 88.58024691358025, 88.27160493827161, 87.34567901234568, 87.65432098765432, 87.65432098765432, 89.19753086419753, 87.96296296296296, 87.65432098765432]","[0.6939281288723668, 0.7242693773824651, 0.6910039113428944, 0.7261904761904762, 0.7032181168057211, 0.6823821339950372, 0.6994818652849741, 0.6919945725915875, 0.6779661016949152, 0.7216494845360825]",62.0,255.0,16.0,27.0,60.74074074074074,0.046189376443418015,2.0,80.0,8.0,45.0
KNN,prune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.37777777777777777,Models\KNN\20260420_Apr\prune.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",108.0,252.0,0.0,0.0,62.22222222222222,0.26143790849673204,12.0,72.0,15.0,36.0
KNN,weight normalisation,"[0.007716049382716049, 0.009259259259259259, 0.021604938271604937, 0.020061728395061727, 0.013888888888888888, 0.013888888888888888, 0.021604938271604937, 0.023148148148148147, 0.020061728395061727, 0.021604938271604937]",0.5,Models\KNN\20260420_Apr\weight_normalisation.pkl,"[98.76543209876543, 99.07407407407408, 95.67901234567901, 95.98765432098766, 97.8395061728395, 97.8395061728395, 95.67901234567901, 95.37037037037037, 95.98765432098766, 95.67901234567901]","[0.9717868338557993, 0.9720785935884177, 0.9615384615384616, 0.9720785935884177, 0.9611231101511879, 0.9623430962343096, 0.9611231101511879, 0.9619450317124736, 0.9702315325248071, 0.9611231101511879]",101.0,255.0,0.0,4.0,40.74074074074074,0.14326647564469913,5.0,71.0,29.0,30.0
KNN,weight decay,"[0.021604938271604937, 0.021604938271604937, 0.015432098765432098, 0.020061728395061727, 0.024691358024691357, 0.020061728395061727, 0.012345679012345678, 0.021604938271604937, 0.020061728395061727, 0.021604938271604937]",0.4222222222222222,Models\KNN\20260420_Apr\weight_decay.pkl,"[95.67901234567901, 95.67901234567901, 97.8395061728395, 97.22222222222221, 96.91358024691358, 95.98765432098766, 98.76543209876543, 95.67901234567901, 95.98765432098766, 97.8395061728395]","[0.9497206703910615, 0.940733772342427, 0.9547738693467337, 0.9401709401709402, 0.9763313609467456, 0.9371884346959123, 0.9744990892531876, 0.9384164222873901, 0.9506398537477148, 0.9935004642525533]",110.0,243.0,0.0,7.0,57.77777777777777,0.5543237250554324,25.0,53.0,39.0,18.0
KNN,weight perturbation,"[0.0030864197530864196, 0.006172839506172839, 0.006172839506172839, 0.009259259259259259, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.0030864197530864196, 0.006172839506172839]",0.362962962962963,Models\KNN\20260420_Apr\weight_perturbation.pkl,"[99.69135802469135, 99.38271604938271, 99.38271604938271, 99.07407407407408, 99.38271604938271, 99.38271604938271, 99.38271604938271, 99.38271604938271, 99.69135802469135, 99.38271604938271]","[0.9836065573770492, 0.9688581314878892, 0.9652509652509652, 0.9796672828096118, 0.9659090909090909, 0.9631147540983607, 0.9683098591549296, 0.967741935483871, 0.9823182711198428, 0.9671532846715328]",58.0,300.0,0.0,2.0,63.70370370370371,0.25830258302583026,7.0,79.0,30.0,19.0
Neural Network,baseline,"[0.10416666666666667, 0.06944444444444445, 0.07291666666666667, 0.09375, 0.07291666666666667]",0.17777777777777778,Models\NN\20260420_07\baseline.pt,"[89.58333333333334, 93.05555555555556, 92.70833333333334, 90.625, 92.70833333333334]","[0.2556818181818182, 0.572139303482587, 0.6263498920086393, 0.2915451895043732, 0.559610705596107]",25.0,307.0,1.0,27.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
Neural Network,batch normalisation,"[0.2604166666666667, 0.2708333333333333, 0.2708333333333333, 0.2465277777777778, 0.2569444444444444]",0.08888888888888889,Models\NN\20260420_07\batch_normalisation.pt,"[73.95833333333334, 72.91666666666666, 72.91666666666666, 75.34722222222221, 74.30555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,266.0,0.0,94.0,91.11111111111111,0.0,0.0,123.0,0.0,12.0
Neural Network,dropout,"[0.9097222222222222, 0.875, 0.8645833333333334, 0.11805555555555555, 0.11458333333333333]",0.9185185185185185,Models\NN\20260420_07\dropout.pt,"[9.027777777777777, 12.5, 13.541666666666666, 88.19444444444444, 88.54166666666666]","[0.49808429118773945, 0.5882352941176471, 0.6103286384976526, 0.0, 0.0]",42.0,0.0,318.0,0.0,8.148148148148149,0.4700854700854701,11.0,0.0,124.0,0.0
Neural Network,layer normalisation,"[0.7430555555555556, 0.7534722222222222, 0.25, 0.25, 0.7673611111111112]",0.34814814814814815,Models\NN\20260420_07\layer_normalisation.pt,"[25.694444444444443, 24.65277777777778, 75.0, 75.0, 23.26388888888889]","[0.7756813417190775, 0.7659115426105717, 0.0, 0.0, 0.7519640852974186]",0.0,271.0,0.0,89.0,65.18518518518519,0.0,0.0,88.0,0.0,47.0
