work_year,target,employment_type,salary_currency,salary_in_usd,company_location
0.933090760892103,4,2,7,342,25
0.933090760892103,3,0,19,89,70
0.933090760892103,3,0,19,75,70
0.933090760892103,4,2,19,757,12
0.933090760892103,4,2,19,509,12
0.933090760892103,4,2,19,914,70
0.933090760892103,4,2,19,591,70
0.933090760892103,4,2,19,906,12
0.933090760892103,4,2,19,619,12
0.933090760892103,4,2,19,649,70
0.933090760892103,4,2,19,357,70
0.933090760892103,4,2,19,563,70
0.933090760892103,4,2,19,402,70
0.933090760892103,1,2,19,893,70
0.933090760892103,1,2,19,569,70
0.933090760892103,4,2,19,649,70
0.933090760892103,4,2,19,357,70
0.933090760892103,4,2,19,738,70
0.933090760892103,4,2,19,663,70
0.933090760892103,3,2,19,663,70
0.933090760892103,3,2,19,460,70
0.933090760892103,4,2,19,984,20
0.933090760892103,4,2,19,755,20
0.933090760892103,4,2,19,927,28
0.933090760892103,4,2,19,632,28
0.933090760892103,4,2,19,919,70
0.933090760892103,4,2,19,691,70
0.933090760892103,4,2,19,851,70
0.933090760892103,4,2,19,563,70
0.933090760892103,4,2,19,355,12
0.933090760892103,4,2,19,277,12
0.933090760892103,4,2,19,963,70
0.933090760892103,4,2,19,357,70
0.933090760892103,4,2,19,1019,70
0.933090760892103,4,2,19,795,70
0.933090760892103,3,2,19,715,70
0.933090760892103,3,2,19,563,70
0.933090760892103,3,2,19,436,70
0.933090760892103,3,2,19,238,70
0.933090760892103,1,2,19,402,53
0.933090760892103,1,2,19,89,53
-0.4019626865857902,3,2,12,57,38
0.933090760892103,1,2,19,867,70
0.933090760892103,1,2,19,465,70
0.933090760892103,4,2,19,981,70
0.933090760892103,4,2,19,912,70
0.933090760892103,4,2,19,888,70
0.933090760892103,4,2,19,797,70
0.933090760892103,4,2,19,974,70
0.933090760892103,4,2,19,949,70
0.933090760892103,4,2,19,985,70
0.933090760892103,4,2,19,791,70
0.933090760892103,4,2,19,905,70
0.933090760892103,4,2,19,850,70
0.933090760892103,4,2,19,863,70
0.933090760892103,4,2,19,528,70
0.933090760892103,4,2,19,814,70
0.933090760892103,4,2,19,609,70
0.933090760892103,2,2,19,969,70
0.933090760892103,2,2,19,797,70
0.933090760892103,4,2,19,930,70
0.933090760892103,4,2,19,725,70
0.933090760892103,4,2,19,750,70
0.933090760892103,4,2,19,463,70
0.933090760892103,4,2,19,938,70
0.933090760892103,4,2,19,761,70
0.933090760892103,4,2,19,937,70
0.933090760892103,4,2,19,856,70
0.933090760892103,4,2,19,1007,70
0.933090760892103,4,2,19,700,70
0.933090760892103,4,2,19,481,70
0.933090760892103,4,2,19,320,70
0.933090760892103,4,2,19,937,70
0.933090760892103,4,2,19,856,70
0.933090760892103,4,2,19,987,70
0.933090760892103,4,2,19,883,70
0.933090760892103,4,2,19,988,70
0.933090760892103,4,2,19,734,70
0.933090760892103,4,2,19,830,70
0.933090760892103,4,2,19,609,70
0.933090760892103,3,2,9,242,31
0.933090760892103,4,2,19,663,70
0.933090760892103,3,2,7,268,20
-0.4019626865857902,1,2,19,1004,38
0.933090760892103,3,2,7,387,54
0.933090760892103,4,2,19,802,70
0.933090760892103,4,2,19,561,70
0.933090760892103,4,2,19,919,70
0.933090760892103,4,2,19,757,70
0.933090760892103,4,2,19,797,70
0.933090760892103,4,2,19,613,70
0.933090760892103,4,2,7,154,25
0.933090760892103,4,2,7,116,25
0.933090760892103,4,2,19,432,70
0.933090760892103,4,2,19,270,70
0.933090760892103,1,2,19,716,70
0.933090760892103,1,2,19,642,70
0.933090760892103,4,2,19,903,70
0.933090760892103,4,2,19,797,70
0.933090760892103,4,2,19,859,70
0.933090760892103,4,2,19,425,70
0.933090760892103,4,2,19,639,70
0.933090760892103,4,2,19,240,70
0.933090760892103,4,2,19,721,70
0.933090760892103,4,2,19,576,70
0.933090760892103,4,2,19,772,70
0.933090760892103,4,2,19,374,70
0.933090760892103,4,2,19,674,70
0.933090760892103,4,2,19,495,70
0.933090760892103,4,2,19,952,70
0.933090760892103,4,2,19,582,70
0.933090760892103,4,2,19,861,70
0.933090760892103,4,2,19,578,70
0.933090760892103,1,2,19,908,70
-0.4019626865857902,1,2,3,195,14
0.933090760892103,4,2,19,509,70
0.933090760892103,4,2,19,997,70
0.933090760892103,4,2,19,894,70
0.933090760892103,4,2,19,777,70
0.933090760892103,4,2,19,633,70
0.933090760892103,4,2,19,990,70
0.933090760892103,4,2,19,813,70
0.933090760892103,4,2,19,895,70
0.933090760892103,4,2,19,802,70
0.933090760892103,4,2,19,561,70
0.933090760892103,4,2,19,962,70
0.933090760892103,4,2,19,560,70
0.933090760892103,3,2,19,687,70
0.933090760892103,3,2,19,613,70
0.933090760892103,4,2,19,713,70
0.933090760892103,4,2,19,624,70
0.933090760892103,4,2,19,1018,70
0.933090760892103,4,2,19,762,70
0.933090760892103,3,2,19,402,70
0.933090760892103,3,2,19,270,70
0.933090760892103,1,2,19,338,70
0.933090760892103,1,2,19,240,70
0.933090760892103,4,2,19,606,70
0.933090760892103,4,2,19,332,70
0.933090760892103,1,2,19,292,70
0.933090760892103,1,2,19,270,70
0.933090760892103,4,2,19,866,70
0.933090760892103,4,2,19,607,70
0.933090760892103,4,2,19,1012,70
0.933090760892103,4,2,19,887,70
0.933090760892103,4,2,19,379,70
0.933090760892103,4,2,19,292,70
0.933090760892103,4,2,19,835,70
0.933090760892103,4,2,19,705,70
0.933090760892103,4,2,19,927,70
0.933090760892103,4,2,19,632,70
0.933090760892103,3,2,19,432,70
0.933090760892103,3,2,12,56,38
0.933090760892103,3,2,8,146,28
0.933090760892103,3,2,8,132,28
0.933090760892103,4,2,19,639,70
0.933090760892103,4,2,19,735,70
0.933090760892103,4,2,19,434,70
0.933090760892103,4,2,19,818,70
0.933090760892103,4,2,19,663,70
0.933090760892103,4,2,19,663,70
0.933090760892103,4,2,19,509,70
0.933090760892103,4,2,19,509,70
0.933090760892103,4,2,8,185,13
0.933090760892103,4,2,8,132,13
0.933090760892103,4,2,19,943,70
0.933090760892103,4,2,19,687,70
0.933090760892103,4,2,19,908,70
0.933090760892103,4,2,19,818,70
0.933090760892103,3,2,8,253,28
0.933090760892103,3,2,8,185,28
-3.0720695815415766,2,2,19,34,12
0.933090760892103,3,2,8,339,28
0.933090760892103,3,2,8,199,28
0.933090760892103,1,2,19,338,70
0.933090760892103,1,2,19,292,70
0.933090760892103,4,2,19,705,70
0.933090760892103,3,2,19,1004,70
0.933090760892103,3,2,19,960,70
0.933090760892103,4,2,19,924,70
0.933090760892103,4,2,19,803,70
0.933090760892103,4,2,19,818,70
0.933090760892103,3,2,19,927,70
0.933090760892103,3,2,19,851,70
0.933090760892103,4,2,19,779,70
0.933090760892103,4,2,19,481,70
0.933090760892103,4,2,19,851,70
0.933090760892103,4,2,7,179,27
0.933090760892103,2,2,19,908,70
0.933090760892103,2,2,19,868,70
0.933090760892103,3,2,19,779,70
0.933090760892103,4,2,19,851,70
0.933090760892103,4,2,19,663,70
0.933090760892103,4,2,19,897,70
0.933090760892103,4,2,19,738,70
0.933090760892103,4,2,19,953,70
0.933090760892103,4,2,19,747,70
0.933090760892103,4,2,19,918,12
0.933090760892103,4,2,19,761,12
0.933090760892103,4,2,19,509,70
0.933090760892103,4,2,19,292,70
0.933090760892103,1,2,12,41,38
0.933090760892103,4,2,0,261,26
0.933090760892103,3,2,16,293,26
0.933090760892103,4,2,19,613,70
0.933090760892103,4,2,19,509,70
0.933090760892103,4,2,19,554,70
0.933090760892103,2,2,19,1016,70
0.933090760892103,2,2,19,979,70
0.933090760892103,4,2,19,402,70
0.933090760892103,4,2,19,315,70
0.933090760892103,4,2,19,960,70
0.933090760892103,4,2,19,715,70
0.933090760892103,3,2,19,851,70
0.933090760892103,4,2,19,402,70
0.933090760892103,2,2,19,639,70
0.933090760892103,2,2,19,481,70
0.933090760892103,4,2,19,864,70
0.933090760892103,4,2,19,672,70
0.933090760892103,4,2,19,939,70
0.933090760892103,4,2,19,524,70
0.933090760892103,4,2,19,937,70
0.933090760892103,4,2,19,639,70
0.933090760892103,4,2,19,822,70
0.933090760892103,4,2,19,586,70
0.933090760892103,4,2,19,818,70
0.933090760892103,4,2,19,470,70
-0.4019626865857902,4,2,7,350,28
0.933090760892103,4,2,19,589,70
0.933090760892103,4,2,19,438,70
0.933090760892103,4,2,19,1000,70
0.933090760892103,4,2,19,797,70
0.933090760892103,4,2,19,315,70
0.933090760892103,4,2,19,270,70
0.933090760892103,4,2,19,705,70
0.933090760892103,4,2,19,757,70
0.933090760892103,4,2,19,639,70
0.933090760892103,4,2,19,851,70
0.933090760892103,4,2,19,653,70
0.933090760892103,4,2,19,942,70
0.933090760892103,4,2,19,530,70
0.933090760892103,4,2,19,675,70
0.933090760892103,4,2,19,501,70
0.933090760892103,4,2,19,753,70
0.933090760892103,4,2,19,474,70
0.933090760892103,4,2,19,971,70
0.933090760892103,2,2,19,757,70
0.933090760892103,2,2,19,460,70
0.933090760892103,4,2,19,563,70
0.933090760892103,4,2,19,460,70
0.933090760892103,4,2,19,868,70
0.933090760892103,4,2,19,793,70
0.933090760892103,4,2,19,660,70
0.933090760892103,4,2,19,549,70
0.933090760892103,4,2,19,907,70
0.933090760892103,4,2,19,645,70
0.933090760892103,4,2,19,589,70
0.933090760892103,4,2,19,849,70
0.933090760892103,4,2,19,714,70
0.933090760892103,2,2,19,910,70
0.933090760892103,2,2,19,676,70
0.933090760892103,4,2,19,805,70
0.933090760892103,4,2,19,554,70
0.933090760892103,4,2,19,883,70
0.933090760892103,4,2,19,591,70
0.933090760892103,4,2,19,402,70
0.933090760892103,4,2,19,771,70
0.933090760892103,4,2,19,454,70
0.933090760892103,4,2,19,949,70
0.933090760892103,4,2,19,779,70
0.933090760892103,4,2,19,626,70
0.933090760892103,4,2,19,848,70
0.933090760892103,4,2,19,434,70
0.933090760892103,4,2,19,538,70
0.933090760892103,4,2,19,470,70
0.933090760892103,4,2,19,883,70
0.933090760892103,4,2,19,687,70
0.933090760892103,4,2,19,481,70
0.933090760892103,4,2,19,343,70
0.933090760892103,4,2,19,721,70
0.933090760892103,4,2,19,613,70
0.933090760892103,4,2,19,609,70
0.933090760892103,4,2,19,440,70
0.933090760892103,1,2,2,125,12
-0.4019626865857902,4,2,19,984,12
0.933090760892103,4,1,19,159,69
0.933090760892103,3,2,19,989,70
0.933090760892103,3,2,19,666,70
0.933090760892103,1,2,2,170,12
0.933090760892103,4,2,19,961,70
0.933090760892103,4,2,19,702,70
0.933090760892103,1,2,19,564,70
0.933090760892103,1,2,19,276,70
0.933090760892103,3,2,19,370,70
0.933090760892103,3,2,19,171,70
0.933090760892103,4,2,19,757,12
0.933090760892103,4,2,19,589,12
0.933090760892103,4,2,19,967,70
0.933090760892103,4,2,19,648,70
0.933090760892103,4,2,19,913,70
0.933090760892103,4,2,19,861,70
0.933090760892103,4,2,19,579,70
0.933090760892103,4,2,19,910,70
