work_year,target,employment_type,salary_currency,employee_residence,company_size
0.933090760892103,4,2,7,26,0
0.933090760892103,3,0,19,75,2
0.933090760892103,3,0,19,75,2
0.933090760892103,4,2,19,11,1
0.933090760892103,4,2,19,11,1
0.933090760892103,4,2,19,75,0
0.933090760892103,4,2,19,75,0
0.933090760892103,4,2,19,11,1
0.933090760892103,4,2,19,11,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,1,2,19,75,0
0.933090760892103,1,2,19,75,0
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,3,2,19,75,1
0.933090760892103,3,2,19,75,1
0.933090760892103,4,2,19,20,1
0.933090760892103,4,2,19,20,1
0.933090760892103,4,2,19,29,1
0.933090760892103,4,2,19,29,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,11,1
0.933090760892103,4,2,19,11,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,3,2,19,75,1
0.933090760892103,3,2,19,75,1
0.933090760892103,3,2,19,75,1
0.933090760892103,3,2,19,75,1
0.933090760892103,1,2,19,56,0
0.933090760892103,1,2,19,56,0
-0.4019626865857902,3,2,12,39,0
0.933090760892103,1,2,19,75,0
0.933090760892103,1,2,19,75,0
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,2,2,19,75,1
0.933090760892103,2,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,0
0.933090760892103,4,2,19,75,0
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
0.933090760892103,4,2,19,75,1
