target,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size
4,2,84,-0.16136692109042466,7,342,1.0282812738738005,0
3,0,66,-0.22325721148881794,19,89,1.0282812738738005,2
3,0,66,-0.22882733762467333,19,75,1.0282812738738005,2
4,2,47,-0.04377536933347743,19,757,1.0282812738738005,1
4,2,47,-0.11185468877171004,19,509,1.0282812738738005,1
4,2,8,0.014649064802605825,19,914,-1.04837274073339,0
4,2,8,-0.09204979584422418,19,591,-1.04837274073339,0
4,2,47,0.010688086217108655,19,906,-1.04837274073339,1
4,2,47,-0.08586076680438486,19,619,-1.04837274073339,1
4,2,47,-0.07831015137578087,19,649,-1.04837274073339,1
4,2,47,-0.1481223989451685,19,357,-1.04837274073339,1
4,2,25,-0.09947663069203137,19,563,1.0282812738738005,1
4,2,25,-0.13661080493106734,19,402,1.0282812738738005,1
1,2,8,0.004078203202560254,19,893,-1.04837274073339,0
1,2,8,-0.0985358982779758,19,569,-1.04837274073339,0
4,2,38,-0.07831015137578087,19,649,-1.04837274073339,1
4,2,38,-0.1481223989451685,19,357,-1.04837274073339,1
4,2,47,-0.04996439837331675,19,738,-1.04837274073339,1
4,2,47,-0.07472051453267407,19,663,-1.04837274073339,1
3,2,25,-0.07472051453267407,19,663,1.0282812738738005,1
3,2,25,-0.12423274685138869,19,460,1.0282812738738005,1
4,2,88,0.08000521146330912,19,984,-1.04837274073339,1
4,2,88,-0.045013175141445295,19,755,-1.04837274073339,1
4,2,4,0.024303950104755178,19,927,1.0282812738738005,1
4,2,4,-0.08313759402685555,19,632,1.0282812738738005,1
4,2,18,0.01811492106491585,19,919,-1.04837274073339,1
4,2,18,-0.06679855736167972,19,691,-1.04837274073339,1
4,2,69,-0.012830224134280789,19,851,-1.04837274073339,1
4,2,69,-0.09947663069203137,19,563,-1.04837274073339,1
4,2,50,-0.148988863010746,19,355,-1.04837274073339,1
4,2,50,-0.17126936755416758,19,277,-1.04837274073339,1
4,2,33,0.05302104484960966,19,963,-1.04837274073339,1
4,2,33,-0.1481223989451685,19,357,-1.04837274073339,1
4,2,23,0.16394082330161008,19,1019,-1.04837274073339,1
4,2,23,-0.031904811635065596,19,795,-1.04837274073339,1
3,2,33,-0.05924794193307575,19,715,-1.04837274073339,1
3,2,33,-0.09947663069203137,19,563,-1.04837274073339,1
3,2,25,-0.12995140968420021,19,436,-1.04837274073339,1
3,2,25,-0.18055291111392657,19,238,-1.04837274073339,1
1,2,41,-0.13661080493106734,19,402,1.0282812738738005,0
1,2,22,-0.22325721148881794,19,89,1.0282812738738005,0
3,2,69,1.781988197419124,12,57,-0.010045733429794819,0
1,2,8,-0.00711156130146925,19,867,-1.04837274073339,0
1,2,8,-0.12339103890197053,19,465,-1.04837274073339,0
4,2,33,0.07468635990647121,19,981,-1.04837274073339,1
4,2,33,0.013762795844100834,19,912,-1.04837274073339,1
4,2,47,0.0029517999173094963,19,888,1.0282812738738005,1
4,2,47,-0.03139731125379877,19,797,1.0282812738738005,1
4,2,47,0.06391373595972688,19,974,1.0282812738738005,1
4,2,47,0.04287103722427316,19,949,1.0282812738738005,1
4,2,47,0.08037655320569949,19,985,1.0282812738738005,1
4,2,47,-0.03325401996575057,19,791,1.0282812738738005,1
4,2,47,0.010069183313124723,19,905,1.0282812738738005,1
4,2,47,-0.013946724973067804,19,850,1.0282812738738005,1
4,2,33,-0.008745464967986833,19,863,1.0282812738738005,1
4,2,33,-0.10739858786302572,19,528,1.0282812738738005,1
4,2,88,-0.026309929383050844,19,814,-1.04837274073339,1
4,2,88,-0.08833637842032059,19,609,-1.04837274073339,1
2,2,47,0.05989086708383131,19,969,-1.04837274073339,1
2,2,47,-0.03139731125379877,19,797,-1.04837274073339,1
4,2,33,0.026160658816706976,19,930,1.0282812738738005,1
4,2,33,-0.05491562160518822,19,725,1.0282812738738005,1
4,2,47,-0.04686988385339709,19,750,1.0282812738738005,1
4,2,47,-0.12361384394740475,19,463,1.0282812738738005,1
4,2,33,0.0342063965684981,19,938,-1.04837274073339,1
4,2,33,-0.04253756352550956,19,761,-1.04837274073339,1
4,2,33,0.032968590760530235,19,937,1.0282812738738005,1
4,2,33,-0.011035405712727384,19,856,1.0282812738738005,1
4,2,8,0.1225857312574037,19,1007,-1.04837274073339,0
4,2,8,-0.06345648168016649,19,700,-1.04837274073339,0
4,2,33,-0.11804371781154936,19,481,-1.04837274073339,1
4,2,33,-0.15951021237847285,19,320,-1.04837274073339,1
4,2,47,0.032968590760530235,19,937,1.0282812738738005,1
4,2,47,-0.011035405712727384,19,856,1.0282812738738005,1
4,2,23,0.08619424050314846,19,987,-1.04837274073339,1
4,2,23,-0.00045216605460213406,19,883,-1.04837274073339,1
4,2,31,0.08631802108394523,19,988,1.0282812738738005,1
4,2,31,-0.0523162294084557,19,734,1.0282812738738005,1
4,2,33,-0.020875961886071916,19,830,1.0282812738738005,1
4,2,33,-0.08833637842032059,19,609,1.0282812738738005,1
3,2,47,0.3708895763357576,9,242,-1.04837274073339,0
4,2,69,-0.07472051453267407,19,663,1.0282812738738005,1
3,2,6,-0.17993400820994263,7,268,1.0282812738738005,2
1,2,1,0.11095035666250577,19,1004,-0.010045733429794819,0
3,2,69,-0.148988863010746,7,387,1.0282812738738005,0
4,2,18,-0.030283286026627693,19,802,-1.04837274073339,1
4,2,18,-0.10034309475760889,19,561,-1.04837274073339,1
