work_year,target,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size
0.933090760892103,4,-0.16136692109042466,7,342,26,25,0
0.933090760892103,3,-0.22325721148881794,19,89,75,70,2
0.933090760892103,3,-0.22882733762467333,19,75,75,70,2
0.933090760892103,4,-0.04377536933347743,19,757,11,12,1
0.933090760892103,4,-0.11185468877171004,19,509,11,12,1
0.933090760892103,4,0.014649064802605825,19,914,75,70,0
0.933090760892103,4,-0.09204979584422418,19,591,75,70,0
0.933090760892103,4,0.010688086217108655,19,906,11,12,1
0.933090760892103,4,-0.08586076680438486,19,619,11,12,1
0.933090760892103,4,-0.07831015137578087,19,649,75,70,1
0.933090760892103,4,-0.1481223989451685,19,357,75,70,1
0.933090760892103,4,-0.09947663069203137,19,563,75,70,1
0.933090760892103,4,-0.13661080493106734,19,402,75,70,1
0.933090760892103,1,0.004078203202560254,19,893,75,70,0
0.933090760892103,1,-0.0985358982779758,19,569,75,70,0
0.933090760892103,4,-0.07831015137578087,19,649,75,70,1
0.933090760892103,4,-0.1481223989451685,19,357,75,70,1
0.933090760892103,4,-0.04996439837331675,19,738,75,70,1
0.933090760892103,4,-0.07472051453267407,19,663,75,70,1
0.933090760892103,3,-0.07472051453267407,19,663,75,70,1
0.933090760892103,3,-0.12423274685138869,19,460,75,70,1
0.933090760892103,4,0.08000521146330912,19,984,20,20,1
0.933090760892103,4,-0.045013175141445295,19,755,20,20,1
0.933090760892103,4,0.024303950104755178,19,927,29,28,1
0.933090760892103,4,-0.08313759402685555,19,632,29,28,1
0.933090760892103,4,0.01811492106491585,19,919,75,70,1
0.933090760892103,4,-0.06679855736167972,19,691,75,70,1
0.933090760892103,4,-0.012830224134280789,19,851,75,70,1
0.933090760892103,4,-0.09947663069203137,19,563,75,70,1
0.933090760892103,4,-0.148988863010746,19,355,11,12,1
0.933090760892103,4,-0.17126936755416758,19,277,11,12,1
0.933090760892103,4,0.05302104484960966,19,963,75,70,1
0.933090760892103,4,-0.1481223989451685,19,357,75,70,1
0.933090760892103,4,0.16394082330161008,19,1019,75,70,1
0.933090760892103,4,-0.031904811635065596,19,795,75,70,1
0.933090760892103,3,-0.05924794193307575,19,715,75,70,1
0.933090760892103,3,-0.09947663069203137,19,563,75,70,1
0.933090760892103,3,-0.12995140968420021,19,436,75,70,1
0.933090760892103,3,-0.18055291111392657,19,238,75,70,1
0.933090760892103,1,-0.13661080493106734,19,402,56,53,0
0.933090760892103,1,-0.22325721148881794,19,89,56,53,0
-0.4019626865857902,3,1.781988197419124,12,57,39,38,0
0.933090760892103,1,-0.00711156130146925,19,867,75,70,0
0.933090760892103,1,-0.12339103890197053,19,465,75,70,0
0.933090760892103,4,0.07468635990647121,19,981,75,70,1
0.933090760892103,4,0.013762795844100834,19,912,75,70,1
0.933090760892103,4,0.0029517999173094963,19,888,75,70,1
0.933090760892103,4,-0.03139731125379877,19,797,75,70,1
0.933090760892103,4,0.06391373595972688,19,974,75,70,1
0.933090760892103,4,0.04287103722427316,19,949,75,70,1
0.933090760892103,4,0.08037655320569949,19,985,75,70,1
0.933090760892103,4,-0.03325401996575057,19,791,75,70,1
0.933090760892103,4,0.010069183313124723,19,905,75,70,1
0.933090760892103,4,-0.013946724973067804,19,850,75,70,1
0.933090760892103,4,-0.008745464967986833,19,863,75,70,1
0.933090760892103,4,-0.10739858786302572,19,528,75,70,1
0.933090760892103,4,-0.026309929383050844,19,814,75,70,1
0.933090760892103,4,-0.08833637842032059,19,609,75,70,1
0.933090760892103,2,0.05989086708383131,19,969,75,70,1
0.933090760892103,2,-0.03139731125379877,19,797,75,70,1
0.933090760892103,4,0.026160658816706976,19,930,75,70,1
0.933090760892103,4,-0.05491562160518822,19,725,75,70,1
0.933090760892103,4,-0.04686988385339709,19,750,75,70,1
0.933090760892103,4,-0.12361384394740475,19,463,75,70,1
0.933090760892103,4,0.0342063965684981,19,938,75,70,1
0.933090760892103,4,-0.04253756352550956,19,761,75,70,1
0.933090760892103,4,0.032968590760530235,19,937,75,70,1
0.933090760892103,4,-0.011035405712727384,19,856,75,70,1
0.933090760892103,4,0.1225857312574037,19,1007,75,70,0
0.933090760892103,4,-0.06345648168016649,19,700,75,70,0
0.933090760892103,4,-0.11804371781154936,19,481,75,70,1
0.933090760892103,4,-0.15951021237847285,19,320,75,70,1
0.933090760892103,4,0.032968590760530235,19,937,75,70,1
0.933090760892103,4,-0.011035405712727384,19,856,75,70,1
0.933090760892103,4,0.08619424050314846,19,987,75,70,1
0.933090760892103,4,-0.00045216605460213406,19,883,75,70,1
0.933090760892103,4,0.08631802108394523,19,988,75,70,1
0.933090760892103,4,-0.0523162294084557,19,734,75,70,1
0.933090760892103,4,-0.020875961886071916,19,830,75,70,1
0.933090760892103,4,-0.08833637842032059,19,609,75,70,1
0.933090760892103,3,0.3708895763357576,9,242,32,31,0
0.933090760892103,4,-0.07472051453267407,19,663,63,70,1
0.933090760892103,3,-0.17993400820994263,7,268,39,20,2
-0.4019626865857902,1,0.11095035666250577,19,1004,39,38,0
0.933090760892103,3,-0.148988863010746,7,387,57,54,0
0.933090760892103,4,-0.030283286026627693,19,802,75,70,1
0.933090760892103,4,-0.10034309475760889,19,561,75,70,1
0.933090760892103,4,0.01811492106491585,19,919,75,70,1
0.933090760892103,4,-0.04377536933347743,19,757,75,70,1
0.933090760892103,4,-0.03139731125379877,19,797,75,70,1
0.933090760892103,4,-0.08709857261235272,19,613,75,70,1
0.933090760892103,4,-0.20469012436929995,7,154,26,25,1
0.933090760892103,4,-0.21583037664101073,7,116,26,25,1
0.933090760892103,4,-0.13042177589122803,19,432,75,70,1
0.933090760892103,4,-0.17374497917010331,19,270,75,70,1
0.933090760892103,1,-0.058386429090730114,19,716,75,70,1
0.933090760892103,1,-0.07981408543246184,19,642,75,70,1
0.933090760892103,4,0.008212474601172925,19,903,75,70,1
