work_year,target,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location
0.933090760892103,4,2,84,-0.16136692109042466,7,26,1.0282812738738005,25
0.933090760892103,3,0,66,-0.22325721148881794,19,75,1.0282812738738005,70
0.933090760892103,3,0,66,-0.22882733762467333,19,75,1.0282812738738005,70
0.933090760892103,4,2,47,-0.04377536933347743,19,11,1.0282812738738005,12
0.933090760892103,4,2,47,-0.11185468877171004,19,11,1.0282812738738005,12
0.933090760892103,4,2,8,0.014649064802605825,19,75,-1.04837274073339,70
0.933090760892103,4,2,8,-0.09204979584422418,19,75,-1.04837274073339,70
0.933090760892103,4,2,47,0.010688086217108655,19,11,-1.04837274073339,12
0.933090760892103,4,2,47,-0.08586076680438486,19,11,-1.04837274073339,12
0.933090760892103,4,2,47,-0.07831015137578087,19,75,-1.04837274073339,70
0.933090760892103,4,2,47,-0.1481223989451685,19,75,-1.04837274073339,70
0.933090760892103,4,2,25,-0.09947663069203137,19,75,1.0282812738738005,70
0.933090760892103,4,2,25,-0.13661080493106734,19,75,1.0282812738738005,70
0.933090760892103,1,2,8,0.004078203202560254,19,75,-1.04837274073339,70
0.933090760892103,1,2,8,-0.0985358982779758,19,75,-1.04837274073339,70
0.933090760892103,4,2,38,-0.07831015137578087,19,75,-1.04837274073339,70
0.933090760892103,4,2,38,-0.1481223989451685,19,75,-1.04837274073339,70
0.933090760892103,4,2,47,-0.04996439837331675,19,75,-1.04837274073339,70
0.933090760892103,4,2,47,-0.07472051453267407,19,75,-1.04837274073339,70
0.933090760892103,3,2,25,-0.07472051453267407,19,75,1.0282812738738005,70
0.933090760892103,3,2,25,-0.12423274685138869,19,75,1.0282812738738005,70
0.933090760892103,4,2,88,0.08000521146330912,19,20,-1.04837274073339,20
0.933090760892103,4,2,88,-0.045013175141445295,19,20,-1.04837274073339,20
0.933090760892103,4,2,4,0.024303950104755178,19,29,1.0282812738738005,28
0.933090760892103,4,2,4,-0.08313759402685555,19,29,1.0282812738738005,28
0.933090760892103,4,2,18,0.01811492106491585,19,75,-1.04837274073339,70
0.933090760892103,4,2,18,-0.06679855736167972,19,75,-1.04837274073339,70
0.933090760892103,4,2,69,-0.012830224134280789,19,75,-1.04837274073339,70
0.933090760892103,4,2,69,-0.09947663069203137,19,75,-1.04837274073339,70
0.933090760892103,4,2,50,-0.148988863010746,19,11,-1.04837274073339,12
0.933090760892103,4,2,50,-0.17126936755416758,19,11,-1.04837274073339,12
0.933090760892103,4,2,33,0.05302104484960966,19,75,-1.04837274073339,70
0.933090760892103,4,2,33,-0.1481223989451685,19,75,-1.04837274073339,70
0.933090760892103,4,2,23,0.16394082330161008,19,75,-1.04837274073339,70
