number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,dropout_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,prune_testing_loss,layer_normalisation_testing_loss,weight_decay_testing_loss,weight_perturbation_testing_loss,SMOTE_testing_loss
20.0,1.0,4382.0,2.0,0.0045641259698767,0.1,2191.0,0.981012658227848,1.0,0.0657047144516171,0.1133373632138479,0.0,0.0,1.0902774944558546,1.0,-0.4215505328519623,inf,4,3,1,2,3,5,6,7,8
20.0,1.0,4798.0,2.0,0.0041684035014589,0.1,2399.0,0.981007431874484,1.0,0.0701947567891343,0.1194065072594305,0.0,0.0,1.0904243281406634,1.0,-0.4224504098972265,inf,2,3,2,1,2,4,3,5,6
20.0,1.0,6035.0,2.0,0.0033140016570008,0.1,3017.5,0.9806366918280276,1.0,0.07202031251534,0.1037829392576847,0.0,0.0,1.0902685231089055,1.0,-0.4214970064839786,inf,4,3,1,1,2,5,6,7,8
20.0,1.0,6720.0,2.0,0.0029761904761904,0.1,3360.0,0.9805481874447391,1.0,0.0736584627329808,0.1086730546521916,0.0,0.0,1.0899187689990528,1.0,-0.4193416909631874,inf,3,2,1,1,1,4,4,5,6
10.0,0.3,1030.0,3.0,0.0097087378640776,0.3,343.3333333333333,0.144578313253012,0.2,0.0,0.0144561495291637,0.0127313789056807,0.5239583174737745,1.0048303451950649,1.1536966735807626,84.3440465328173,0.2327613220581485,5,2,3,2,1,4,6,6,7
10.0,0.3,2488.0,3.0,0.0040192926045016,0.3,829.3333333333334,0.1737451737451737,0.2,0.0154629547415705,0.0213239121165509,0.0131891921592437,0.4956420957929852,1.0178485960040833,1.1496695883233508,23.12504814796292,0.3114541923367854,3,2,4,2,1,5,7,6,8
10.0,0.3,760.0,2.0,0.0131578947368421,0.2,380.0,0.144578313253012,0.2,0.0,0.003403389501952,0.0014798058348004,0.2530297930793918,1.001135106914069,1.072969841925422,159.79468625452603,0.1100062346195612,3,1,4,3,5,2,6,2,7
9.0,0.2222222222222222,2584.0,4.0,0.0034829721362229,0.4444444444444444,646.0,0.0617760617760617,0.2222222222222222,0.0324440381991735,0.0433162711296009,0.0132431633107522,0.5675229547078426,1.0386067532445826,1.1685618946342466,18.2965087620349,0.3406885681741803,3,2,3,4,1,5,6,6,7
7.0,0.1428571428571428,2584.0,4.0,0.0027089783281733,0.5714285714285714,646.0,0.0617760617760617,0.0,0.0392795345159759,0.0392795345159759,0.0132431633107522,0.1333562063165652,1.0400611760164131,1.0910592255400997,36.21809565188646,1.795804933483127,3,2,3,4,1,5,6,4,7
9.0,0.3333333333333333,2584.0,4.0,0.0034829721362229,0.4444444444444444,646.0,0.0617760617760617,0.2222222222222222,0.0014119432103565,0.0324117241282673,0.0132431633107522,0.1333562063165652,1.0203618641148835,1.0910592255400997,23.17498161459044,1.795804933483127,3,1,4,4,2,5,7,6,8
5.0,0.4,2584.0,4.0,0.0019349845201238,0.8,646.0,0.0617760617760617,0.2,0.0308747427964579,0.0411199184028387,0.0132431633107522,0.5675229547078426,1.036653079245136,1.2687609252157666,19.3058039085744,1.047141537184391,3,1,5,4,2,5,6,5,7
5.0,0.2,2584.0,4.0,0.0019349845201238,0.8,646.0,0.0617760617760617,0.0,0.0688077742727015,0.0688077742727015,0.0422905724520953,0.5675229547078426,1.0712302713376955,1.2273327628774018,20.246283406628955,0.7841799845500755,1,1,4,2,1,3,4,4,5
6.0,0.1666666666666666,2584.0,4.0,0.0023219814241486,0.6666666666666666,646.0,0.0617760617760617,0.1666666666666666,0.006098908674033,0.006098908674033,0.0132431633107522,0.1333562063165652,1.0061175448851265,1.093450259127944,238.70017439373188,2.272758040512203,1,2,3,3,1,5,6,4,7
10.0,0.3,199.0,4.0,0.050251256281407,0.4,49.75,0.0583333333333333,0.2,0.0030737497736477,0.0306568416876089,0.0162309174107782,0.8653279801108328,1.016651285944818,1.301175046037769,28.382160296761857,-0.2101108770369916,2,3,3,3,1,4,5,5,6
