dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,layer_normalisation,batch_normalisation,dropout,prune,weight_decay,weight_normalisation,weight_perturbation,baseline
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3343457092_20260528_183135.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,0.5684284566495835,-1.474147020751245,1.2697439665988772,-1.2662121658801857,1.0244866931453205,-1.3121916795412478,1.5776173559609334,1.0543355318310004,-0.5664866243810602,0.5999733873342387,0.10515296464422855,1.089412490753361,0.5439559277921141,-1.2273508794761996,0.9422330261486681,-1.1765510809262232,-1.311111500171104,-1.265477342627283,1.6324757423315885,0.2951707732108493,-0.36469490018215744,-0.35000685039245016,0.39602191620017113,-0.24620386782664014,-0.3702316729679851,-0.7211792571238338,1,1,1,1,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3019454163_20260528_183136.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,0.1999255967394427,-0.9237907773320144,1.2697439665988772,-1.2662121658801857,1.1316888827010343,-1.1667366199393898,1.5776173559609334,1.0543355318310004,-0.47524622608045874,0.6936528739834303,-0.2551819753253837,1.0880231868487917,0.6443264237340957,-1.187584168536237,1.0822082410766225,-1.4396556089026644,-1.1094216386251419,-1.3290106794796355,1.5223633269595254,-0.7878905379708799,-0.7965751358172911,-1.743563238926427,0.44204477812064913,0.37557969920783424,-0.4553501646824031,-0.571074148557473,1,1,1,0,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3358867399_20260528_183136.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,0.9369313165597242,-1.3687317229893865,1.2697439665988772,-1.2662121658801857,0.9299645144528981,-1.4311900823483943,1.5776173559609334,1.0543355318310004,-0.495521870147259,0.5287062268285225,-0.2551819753253837,1.0880231868487917,0.4685620151608028,-1.2666395842595168,0.8853080313612517,-0.8837732464529716,-1.2694126423981895,-1.122954382182408,1.3809316982201922,0.818475370349749,-0.5408202607993268,-0.7742036128643283,0.39860468053766734,0.09707050025637268,-0.41389814004989056,-0.5131096109754073,1,1,1,1,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1417593125_20260528_183136.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,-0.3528286931257684,-1.5455000561337757,1.2697439665988772,-1.2662121658801857,1.3254014724125533,-0.8761882510596596,1.5776173559609334,1.0543355318310004,-0.5084245527352229,0.42833969119364534,-0.2551819753253837,0.3174708867977313,0.36377709625821786,-0.8212448283526832,0.869971869871587,-1.1680758348368099,-1.2416706415926235,-1.2962674471889526,1.630789232298717,1.4860109799657908,-0.24598259201467884,-0.9287719052876845,0.2435095878921001,0.4224300514209227,-0.16936743034899338,-0.536184392807006,1,1,1,0,0,0,1,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\323501216_20260528_183137.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,0.01567416678437234,-1.5353132600309953,1.2697439665988772,-1.2662121658801857,1.191202452501634,-1.081206802843591,1.5776173559609334,1.0543355318310004,-0.6156160696198458,0.30887628040122606,-0.2551819753253837,0.3122182412615288,0.24113887517084107,-0.8859117989679955,1.0704307720622166,-1.1846127288468775,-0.8467193192922999,-1.2651417568695078,0.7470046218489276,1.2705835873420905,-0.6378308588180227,-0.8369427028445335,0.3650697344639869,0.4553865574382138,-0.31962453933907076,-0.6731284484964096,1,1,0,0,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1491135366_20260528_183137.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,0.9369313165597242,-1.2398589375138256,1.2697439665988772,-1.2662121658801857,0.9299645144528981,-1.4311900823483943,1.5776173559609334,1.0543355318310004,-0.495521870147259,0.5696211107870514,-0.2551819753253837,1.0855763218596715,0.5117448484383877,-1.286773359923675,0.9286665003674465,-1.387516786306198,-1.3327287771192495,-1.4625987709909676,1.2664676837846576,1.187240330460076,-0.4946726494574266,-0.7891641506772235,0.37330081616457855,0.22247599768998164,-0.42428701206334174,-0.953361094608005,1,1,1,1,0,1,1,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\633354518_20260528_183137.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.9589477410135052,0.3841770266945131,-1.267700862495242,1.2697439665988772,-1.2662121658801857,1.0762944224891862,-1.2432882542568686,1.5776173559609334,1.0543355318310004,-0.5239077718407796,0.7682020474769816,-0.2551819753253837,1.0891531391067741,0.7252356560059686,-1.2717607077437632,1.1053817954971266,-0.6177875246511901,-1.053963364551393,-0.9488200832574608,1.3358706844672885,1.0698668209515276,-0.688877913169388,-0.9287719052876845,0.540170566713641,1.1701517429197112,-0.5050533382387274,-0.12380408349300191,1,1,1,1,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3657231526_20260528_183138.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,0.8470469868356322,1.4896856064249353,-1.334475475868657,-1.2097316754778098,-1.2662121658801857,-1.7081087365754597,-1.5738969290137519,-0.6366226249360696,1.0544055096513596,-0.3535923616796567,0.41990995359133276,-0.7435812636487938,1.0763571962843765,0.3550496243632779,-1.3077610236642498,-0.1500585630819104,-1.1086815119215245,-0.9841883496410776,-0.27180815752512305,2.143660633457996,-3.6766769755842925,1.7959096291644325,0.537982480603797,0.7721023584629421,-0.08606906242825714,-0.8281060148708335,-0.9684237623053823,1,1,1,1,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1047136087_20260528_183138.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.5025385646703109,1.4896856064249353,-1.334475475868657,-0.02534160644960053,-1.2662121658801857,-0.4598204340020155,-1.5738969290137519,0.49375323056940434,1.0565430435369088,-0.47524622608045874,0.5313542585001243,-0.3662679337092138,1.097421285162571,0.4713485976233994,-1.358749838408965,0.056148229653579684,-0.7388901698571839,-1.2689881849159252,-1.273765585468191,1.7123301126229227,2.3101947740863964,0.8154570508260932,0.2899237963098769,0.6043316382877992,-0.17836754310593095,-0.6628014069957432,-1.1304248260805136,1,1,0,0,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3195705393_20260528_183138.csv,-0.5685229041583313,-0.9324749765366485,0.5404662894665091,-0.9881848961043789,-0.04364170794980477,0.30904343787816013,0.08931158202988998,-0.5074735266713452,-0.8809016074846358,-0.6364544642150437,1.4896856064249353,-1.334475475868657,0.19990344816574598,-1.2662121658801857,-0.2315320815971046,-1.5738969290137519,0.6927454893977386,1.0558034568125083,-0.596900090481261,0.5556980870916471,-0.13147068679328616,1.0786325861713988,0.49701948913091304,-1.369370795651527,0.2511348062358795,-0.6107223419761354,-1.1634218381282682,-1.1778085434873977,1.9841718067639227,2.007002063295802,0.5003637884406941,0.15781924191020102,0.5984190173481065,0.5790780574287422,-0.6670584505037052,-0.4909079077468367,1,1,1,1,1,1,1,1
