model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
KNN,dropout,"[0.005934718100890208, 0.008902077151335312, 0.020771513353115726, 0.011869436201780416, 0.008902077151335312, 0.011834319526627219, 0.008875739644970414, 0.023668639053254437, 0.023668639053254437, 0.020710059171597635]",0.34074074074074073,Models\KNN\20260415_Apr\dropout.pkl,"[99.40652818991099, 99.10979228486647, 97.92284866468842, 98.81305637982196, 99.10979228486647, 98.81656804733728, 99.11242603550295, 97.63313609467455, 97.63313609467455, 97.92899408284023]","[0.9745403111739745, 0.9601181683899557, 0.9551020408163265, 0.9553314121037464, 0.9652448657187994, 0.9503448275862069, 0.9615931721194879, 0.9490358126721763, 0.9481065918653576, 0.9623149394347241]",56.0,315.0,0.0,4.0,65.92592592592592,0.23037974683544304,7.0,82.0,22.0,24.0
KNN,layer normalisation,"[0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.0, 0.002967359050445104, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047]",0.5111111111111111,Models\KNN\20260415_Apr\layer_normalisation.pkl,"[99.70326409495549, 99.70326409495549, 99.70326409495549, 100.0, 99.70326409495549, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432]","[0.9912023460410557, 0.9907312049433573, 0.9907312049433573, 1.0, 0.9910891089108911, 0.990343347639485, 0.9909729187562688, 0.991627906976744, 0.9915254237288134, 0.9909729187562688]",85.0,289.0,0.0,1.0,48.888888888888886,0.18413597733711048,10.0,56.0,9.0,60.0
KNN,prune,"[0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.0, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047]",0.4962962962962963,Models\KNN\20260415_Apr\prune.pkl,"[99.70326409495549, 99.70326409495549, 99.70326409495549, 99.70326409495549, 100.0, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432]","[0.9936886395511921, 0.9938566552901024, 0.9935111751982696, 0.993801652892562, 1.0, 0.9938566552901024, 0.9938566552901024, 0.9937456567060459, 0.9936886395511921, 0.993801652892562]",123.0,251.0,0.0,1.0,50.37037037037037,0.0693950177935943,3.0,65.0,16.0,51.0
KNN,weight normalisation,"[0.23738872403560832, 0.24925816023738873, 0.22255192878338279, 0.23738872403560832, 0.2522255192878338, 0.23372781065088757, 0.23964497041420119, 0.23964497041420119, 0.23668639053254437, 0.23668639053254437]",0.32592592592592595,Models\KNN\20260415_Apr\weight_normalisation.pkl,"[76.26112759643917, 75.07418397626114, 77.74480712166172, 76.26112759643917, 74.77744807121661, 76.62721893491124, 76.03550295857988, 76.03550295857988, 76.33136094674556, 76.33136094674556]","[0.6156485929993136, 0.5843706777316736, 0.6079136690647482, 0.641255605381166, 0.5807560137457045, 0.6421895861148198, 0.6249153689911984, 0.6063100137174211, 0.6002756719503791, 0.5631424375917768]",80.0,206.0,38.0,51.0,67.4074074074074,0.4718693284936478,20.0,71.0,21.0,23.0
KNN,weight decay,"[0.017804154302670624, 0.011869436201780416, 0.016320474777448073, 0.013353115727002967, 0.016320474777448073, 0.011834319526627219, 0.01775147928994083, 0.014792899408284023, 0.016272189349112426, 0.014792899408284023]",0.3037037037037037,Models\KNN\20260415_Apr\weight_decay.pkl,"[96.43916913946587, 98.51632047477746, 96.73590504451039, 97.3293768545994, 96.73590504451039, 98.5207100591716, 96.44970414201184, 97.0414201183432, 96.7455621301775, 97.0414201183432]","[0.959563543003851, 0.9861477572559366, 0.9657142857142857, 0.9651387992253067, 0.9651387992253067, 0.9866071428571429, 0.9578030810448761, 0.96484375, 0.9645436638214051, 0.9642384105960264]",126.0,242.0,0.0,7.0,69.62962962962963,0.19402985074626866,6.0,88.0,9.0,32.0
KNN,weight perturbation,"[0.002967359050445104, 0.002967359050445104, 0.005934718100890208, 0.005934718100890208, 0.005934718100890208, 0.005917159763313609, 0.005917159763313609, 0.005917159763313609, 0.005917159763313609, 0.0029585798816568047]",0.34814814814814815,Models\KNN\20260415_Apr\weight_perturbation.pkl,"[99.70326409495549, 99.40652818991099, 99.10979228486647, 99.10979228486647, 99.10979228486647, 99.11242603550295, 99.11242603550295, 99.11242603550295, 99.11242603550295, 99.70414201183432]","[0.9909729187562688, 0.9909729187562688, 0.9811320754716981, 0.9816326530612245, 0.9811320754716981, 0.9816326530612245, 0.9818731117824774, 0.9806034482758621, 0.9821073558648111, 0.9907312049433573]",82.0,291.0,0.0,2.0,65.18518518518519,0.07046070460704607,2.0,86.0,16.0,31.0
Neural Network,baseline,"[0.21333333333333335, 0.77, 0.23666666666666666, 0.81, 0.22333333333333333]",0.22962962962962963,Models\NN\20260415_07\baseline.pt,"[78.66666666666666, 23.0, 76.33333333333333, 19.0, 77.66666666666666]","[0.0, 0.49258649093904444, 0.0, 0.43257443082311725, 0.0]",0.0,293.0,0.0,82.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Neural Network,batch normalisation,"[0.13333333333333333, 0.11333333333333333, 0.11666666666666667, 0.11666666666666667, 0.09666666666666666]",0.4148148148148148,Models\NN\20260415_07\batch_normalisation.pt,"[86.66666666666667, 88.66666666666667, 88.33333333333333, 88.33333333333333, 90.33333333333333]","[0.5652173913043478, 0.6734939759036144, 0.6360381861575178, 0.6261089987325729, 0.675561797752809]",46.0,280.0,10.0,39.0,58.51851851851851,0.28205128205128205,11.0,68.0,28.0,28.0
Neural Network,dropout,"[0.13333333333333333, 0.15, 0.15666666666666668, 0.14666666666666667, 0.16]",0.22962962962962963,Models\NN\20260415_07\dropout.pt,"[86.66666666666667, 85.0, 84.33333333333334, 85.33333333333334, 84.0]","[0.26804123711340205, 0.18533604887983707, 0.0, 0.0, 0.02921348314606742]",0.0,315.0,0.0,60.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Neural Network,layer normalisation,"[0.12666666666666668, 0.09, 0.10666666666666667, 0.08666666666666667, 0.08333333333333333]",0.5111111111111111,Models\NN\20260415_07\layer_normalisation.pt,"[87.33333333333333, 91.0, 89.33333333333333, 91.33333333333333, 91.66666666666666]","[0.6091245376078915, 0.7611940298507462, 0.671875, 0.7367758186397985, 0.7222222222222222]",57.0,283.0,6.0,29.0,48.888888888888886,0.18413597733711048,10.0,56.0,9.0,60.0
