work_year,target,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0.9171914453188469,4,2,31,-0.10400422420493201,19,479,66,-1.0518193611614708,62,1
0.9171914453188469,1,2,31,-0.166273182299516,19,245,66,-1.0518193611614708,62,1
-0.4093305729287404,4,2,25,-0.008325361678138066,19,773,66,-1.0518193611614708,62,1
-1.7358525911763278,4,2,61,-0.1650522223368771,8,357,25,1.0259252360713311,23,2
-0.4093305729287404,3,2,31,-0.10400422420493201,19,479,66,-1.0518193611614708,62,1
-0.4093305729287404,4,2,45,-0.07470118510159836,19,589,66,-1.0518193611614708,62,1
0.9171914453188469,4,2,45,-0.10844407861452801,19,463,66,-1.0518193611614708,62,1
0.9171914453188469,3,2,86,-0.015207136013011878,19,755,66,1.0259252360713311,62,1
-1.7358525911763278,4,2,31,-0.08180495215695198,19,564,66,-1.0518193611614708,62,0
0.9171914453188469,3,2,67,-0.1081366186966635,19,465,66,-1.0518193611614708,62,1
-1.7358525911763278,4,2,60,-0.059605680108971944,19,628,66,1.0259252360713311,62,0
0.9171914453188469,1,2,31,-0.14540586657441476,19,315,66,1.0259252360713311,62,1
-0.4093305729287404,4,2,29,-0.13130932882394744,19,372,66,1.0259252360713311,62,1
-0.4093305729287404,4,2,8,-0.0307466264465979,19,716,66,1.0259252360713311,62,1
0.9171914453188469,3,2,45,-0.026306772037001894,19,726,66,1.0259252360713311,62,1
-0.4093305729287404,4,2,31,-0.14840276830089208,19,305,66,-1.0518193611614708,62,1
-0.4093305729287404,4,2,45,-0.07447919238111857,19,590,66,1.0259252360713311,62,1
0.9171914453188469,3,2,31,-0.08180495215695198,19,564,66,-1.0518193611614708,62,1
0.9171914453188469,3,2,25,-0.04573113507898442,19,670,66,-1.0518193611614708,62,1
-0.4093305729287404,4,2,25,-0.17171200395127112,19,224,66,1.0259252360713311,62,1
-0.4093305729287404,4,2,31,-0.04395519331514602,19,677,66,-1.0518193611614708,62,1
0.9171914453188469,4,2,45,-0.00960181982089692,19,770,66,1.0259252360713311,62,1
0.9171914453188469,3,2,67,-0.10400422420493201,19,479,66,-1.0518193611614708,62,1
0.9171914453188469,4,2,45,0.054221087317045676,19,841,66,-1.0518193611614708,62,1
