dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3343457092_20260528_183135.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,0.39644768954710774,-1.4091158609146999,1.1402773076343504,-1.3216111310434415,0.9264672630999969,-1.221207953985897,1.4407949697323243,0.8674630298937304,-0.628073840081738,0.34427722861653703,-0.058223985324383776,0.9564038602948326,0.2794494295858559,-1.1073734439673022,1.0460985187577911,-1.2695030879627154,-1.3592607198062479,-1.3008629444528694,1.7818120991088755,0.44379112506553126,-0.47484277392011787,-0.37566900787470264,0.4311293603270358,-0.20855825803803363,-0.40502062900424757,-0.7350257626250905,1,0,0,0,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3019454163_20260528_183136.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,0.040756304532880136,-0.8137572723476485,1.1402773076343504,-1.3216111310434415,1.030669484555642,-1.0974866946839514,1.4407949697323243,0.8674630298937304,-0.5309334537070435,0.43627667138821585,-0.36747313217872873,0.9548685787958423,0.37520001901761074,-1.0671926674121903,1.1744395381012718,-1.539493114011375,-1.1615537190239906,-1.3706593944859369,1.6768167753470948,-0.7893464800561429,-0.9087549479961148,-1.8978548694418453,0.48127049114879655,0.37572145755067476,-0.4948243325648657,-0.5634762145089266,1,1,1,0,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3358867399_20260528_183136.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,0.7521390745613353,-1.2903595826539516,1.1402773076343504,-1.3216111310434415,0.8346868538860865,-1.3219297647577881,1.4407949697323243,0.8674630298937304,-0.5525202062347533,0.2749628650171129,-0.36747313217872873,0.9548685787958423,0.20821513955141885,-1.1470887908591993,0.9936943700303625,-0.9689580682966695,-1.318426368972641,-1.1446258143619084,1.540400902730187,1.0324132562385193,-0.6532647096307463,-0.8406782474578978,0.43394154373232247,0.11450833947336546,-0.45106876941568796,-0.49756847035651397,1,1,1,0,1,0,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1417593125_20260528_183136.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,-0.49278077298846124,-1.4914505932142792,1.1402773076343504,-1.3216111310434415,1.2192569745593267,-0.8482321852610097,1.4407949697323243,0.8674630298937304,-0.5662572305705688,0.17826906206413418,-0.36747313217872873,0.14187893532804186,0.11012770468324261,-0.6979632837425243,0.9795548337980753,-1.2608045965833379,-1.2912478466215251,-1.3346769948315849,1.7802122487249408,1.7759598008522592,-0.35337844238806465,-1.0097399327016012,0.2654306671926023,0.41957564537942443,-0.1938146017502277,-0.523782295097822,1,0,1,0,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\323501216_20260528_183137.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,-0.13708938797423365,-1.4795829569077539,1.1402773076343504,-1.3216111310434415,1.0885679417869196,-1.0244136065037501,1.4407949697323243,0.8674630298937304,-0.6803802019758046,0.06448703623370144,-0.36747313217872873,0.13655520022769804,-0.0034100882908284663,-0.7630096732509307,1.1636687295611163,-1.2777770008554339,-0.9032514285761678,-1.3004945184687544,0.9096902776339811,1.5369271626069345,-0.750663625442327,-0.9093238088365906,0.39744352930742,0.45040878908146315,-0.35171183046438825,-0.6799753973070861,1,0,1,0,0,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1491135366_20260528_183137.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,0.7521390745613353,-1.1488110778514733,1.1402773076343504,-1.3216111310434415,0.8346868538860865,-1.3219297647577881,1.4407949697323243,0.8674630298937304,-0.5525202062347533,0.314687703484906,-0.36747313217872873,0.9521653598171207,0.24894554637660393,-1.1674478348576984,1.0336206603785467,-1.4859965814502027,-1.3804216272312402,-1.517708418108391,1.428775722679077,1.4442121616897796,-0.6067165976692989,-0.8570501760347174,0.40639872827952767,0.23223196143022376,-0.4620310868221194,-1.0027471696282388,1,1,1,0,0,1,1,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\633354518_20260528_183137.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.8919731616728099,0.21860199703999392,-1.1791003114103449,1.1402773076343504,-1.3216111310434415,0.9768106422948711,-1.1626847998288827,1.4407949697323243,0.8674630298937304,-0.5827416597735474,0.5102580199028777,-0.36747313217872873,0.9561172346704867,0.4532013032575129,-1.1522667898425862,1.1956177491509394,-0.6958117311678333,-1.1071006873787366,-0.9543892385312809,1.4965846517247174,1.3134169446287642,-0.8016727301712006,-1.0097399327016012,0.5883890616987453,1.1154645411670534,-0.5473435070849417,-0.06015224307241036,1,0,1,0,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3657231526_20260528_183138.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,1.0981716237801988,1.2856761520826767,-1.2523832651863176,-1.259120324436866,-1.3216111310434415,-1.690637704501705,-1.4421541912735274,-0.6207917301902846,0.8675343411677294,-0.4014129385407839,0.17019474822935995,-0.7740910123049347,0.9419888533507464,0.10200403492180651,-1.1886750324188773,0.015573292750657865,-1.1998431631210567,-1.0385332859423424,-0.2223600967794364,2.2536244275602124,-4.16526068436782,1.939658121280739,0.6031702601445565,0.8427040662229754,-0.05770646142057564,-0.8900703103367928,-1.0202107876318884,0,0,0,0,1,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1047136087_20260528_183138.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.3600989666650288,1.2856761520826767,-1.2523832651863176,-0.16356905723758097,-1.3216111310434415,-0.5043795023360241,-1.4421541912735274,0.4207185036752649,0.8697126065639947,-0.5309334537070435,0.2775283511571022,-0.46113024141870773,0.9652601480209939,0.21083790691131113,-1.2402654807374727,0.21464859663421368,-0.8201874612877651,-1.3180106034514847,-1.309963080351169,1.8572599307821644,2.681870137529831,0.7828407434303343,0.3289400340069315,0.6585848262097943,-0.14462471852382244,-0.7144081174780642,-1.2087392766423288,1,0,1,0,1,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3195705393_20260528_183138.csv,-0.49226274254011326,-0.9343120343351032,0.643549308787799,-0.9210042997937388,-0.12890951131670278,0.06327724353962919,0.07684732793678414,-0.5198970802788444,-0.72133380516935,-0.5144762154756813,1.2856761520826767,-1.2523832651863176,0.05529839394381596,-1.3216111310434415,-0.2857547415097557,-1.4421541912735274,0.6063940612961433,0.8689589267368866,-0.6604539688733032,0.30114902306941327,-0.2622778613400304,0.9444992924380093,0.2350356360378931,-1.2510152164990367,0.40075389545758616,-0.6885549106615507,-1.2145372288996168,-1.204702520245112,2.10939259421898,2.3502382622653677,0.43513955687462724,0.1831576239564174,0.6521110157173106,0.5660113781362708,-0.7189243900970864,-0.4723755133559945,1,0,1,0,1,1,1,1
