column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,13.829333333333333,5.421554657287961,3.0,10.0,14.0,18.0,24.0
proportion_of_numeric_features,375.0,0.8205109654478075,0.2677796986747739,0.0,0.6842105263157895,1.0,1.0,1.0
number_of_instances,375.0,3307.328,3611.1028351801324,87.0,862.0,2086.0,5000.0,18905.0
number_of_classes,375.0,4.453333333333333,2.6982532145783082,2.0,2.0,3.0,7.0,10.0
ratio_of_instances_to_features,375.0,294.42710869898707,482.40902280672447,5.388888888888889,68.31578947368422,160.1818181818182,342.49545454545455,3781.0
ratio_of_classes_to_features,375.0,0.4126625754651465,0.43552018941479914,0.0833333333333333,0.1666666666666666,0.2857142857142857,0.5,3.333333333333333
ratio_of_instances_to_classes,375.0,1095.798711111111,1618.2957362166137,10.875,211.5,478.4,1531.0714285714284,9452.5
ratio_of_min_to_max_instances_per_class,375.0,0.50808819474582,0.38819640544462963,0.0056247488951386,0.1081081081081081,0.5312701482914249,0.9128440366972476,1.0
proportion_of_features_with_outliers,375.0,0.4743045713906799,0.3918681040215034,0.0,0.0425724637681159,0.5,0.9,1.0
average_mutual_information,375.0,0.13754734515483388,0.17981896183853252,0.002764890211625,0.0331187768844899,0.0838246914659069,0.1581254483201594,0.844170665520609
minimum_mutual_information,375.0,0.018939735918527007,0.039708512733420666,0.0,0.0,0.0,0.0188272685682096,0.2351558368647714
maximum_mutual_information,375.0,0.34300818558138385,0.34244422397349605,0.0097157268908978,0.1033272230648978,0.2344740487899621,0.47991904240536687,1.2651240546810478
equivalent_number_of_features,375.0,1.1691876231540461,0.2651295908929118,1.0027687160457577,1.0336733571301067,1.0874382398939328,1.1713133830090807,2.326047942666623
noise_to_signal_ratio_of_features,375.0,1.6586537637265626,5.093421873885702,-0.9293066302424272,-0.588095436452331,-0.0085776442237431,1.0336244941591124,36.23943505830346
SMOTE,375.0,1.4586666666666666,2.931075131419349,-1.0,-1.0,-1.0,4.0,8.0
layer_normalisation,375.0,2.8533333333333335,1.4560709469306583,1.0,2.0,3.0,4.0,7.0
batch_normalisation,375.0,2.8373333333333335,1.4580381417563806,1.0,2.0,3.0,4.0,7.0
weight_decay,375.0,2.192,1.204021781031332,1.0,1.0,2.0,3.0,7.0
dropout,375.0,2.8426666666666667,1.2450085725853666,1.0,2.0,3.0,4.0,6.0
baseline,375.0,2.416,1.1781250398941823,1.0,1.5,2.0,3.0,7.0
prune,375.0,2.072,1.085953091826281,1.0,1.0,2.0,3.0,6.0
weight_perturbation,375.0,2.3546666666666667,1.1560458761382204,1.0,1.0,2.0,3.0,6.0
weight_normalisation,375.0,2.0693333333333332,1.18163004124269,1.0,1.0,2.0,3.0,6.0
